Instrument,Name,Lista
NEWBRY,Newbury Pharmaceuticals,FirstNorthPremier
NXTCL,NextCell Pharma AB,FirstNorthPremier
ONCOZ,OncoZenge,FirstNorthPremier
ORTI-A,Ortivus A,FirstNorthPremier
ORTI-B,Ortivus B,FirstNorthPremier
ORT-B,Ortoma B,FirstNorthPremier
OSSD,OssDsign,FirstNorthPremier
PAX,Paxman,FirstNorthPremier
PERP-B,Perpetua Medical B,FirstNorthPremier
PILA,Pila Pharma,FirstNorthPremier
PILA-BTU,PILA PHARMA AB BTU,FirstNorthPremier
PILA-UR,PILA PHARMA AB UR,FirstNorthPremier
PRO,Promimic,FirstNorthPremier
PLUN,ProstaLund,FirstNorthPremier
PROGEN,Prostatype Genomics,FirstNorthPremier
QLIFE,Qlife Holding,FirstNorthPremier
QUIA,QUIA PHARMA,FirstNorthPremier
S2M,S2Medical B,FirstNorthPremier
SDOS,ScandiDos,FirstNorthPremier
CMOTEC-B,Scandinavian ChemoTech B,FirstNorthPremier
HEART,Scandinavian Real Heart,FirstNorthPremier
SCOL,Scandion Oncology,FirstNorthPremier
SCIB,Scibase Holding,FirstNorthPremier
SENZA,Senzagen,FirstNorthPremier
SPAGO,Spago Nanomedical,FirstNorthPremier
SPEC-BTU,SpectraCure AB BTU,FirstNorthPremier
STABL,Stayble Therapeutics,FirstNorthPremier
STIL,Stille,FirstNorthPremier
SUS,Surgical Science,FirstNorthPremier
TOL,Toleranzia,FirstNorthPremier
XINT,Xintela,FirstNorthPremier
XPC,XP Chemistries,FirstNorthPremier
ABSO,Absolent Air Care Group,FirstNorthPremier
ACUVI,Acuvi,FirstNorthPremier
AXOLOT,Axolot Solutions Holding,FirstNorthPremier
BAWAT,Bawat Water Technologies,FirstNorthPremier
BOMILL,BoMill,FirstNorthPremier
CALVIK,Calviks,FirstNorthPremier
CARE,Careium,FirstNorthPremier
CI,Cell Impact,FirstNorthPremier
DLAB,Dlaboratory Sweden,FirstNorthPremier
ESGR-B,ES Energy Save Holding B,FirstNorthPremier
FERRO,Ferroamp,FirstNorthPremier
FIRE,Firefly,FirstNorthPremier
FLEXQ,FlexQube,FirstNorthPremier
FREEM,Freemelt,FirstNorthPremier
GPX,Gasporox,FirstNorthPremier
GOTL-A,Gotlandsbolaget A,FirstNorthPremier
GOTL-B,Gotlandsbolaget B,FirstNorthPremier
GGEO,Guideline Geo,FirstNorthPremier
HEGR,Hedera Group,FirstNorthPremier
HEGR-BTU,Hedera Group AB BTU,FirstNorthPremier
HELIO,Heliospectra,FirstNorthPremier
HILB-B,Hilbert Group,FirstNorthPremier
IDUN-B,Idun Industrier B,FirstNorthPremier
LXB,Luxbright,FirstNorthPremier
LYGRD,Lyckegård,FirstNorthPremier
MANTEX,Mantex,FirstNorthPremier
NEPA,Nepa,FirstNorthPremier
NJOB,NetJobs Group,FirstNorthPremier
LEVEL,Nordic LEVEL Group,FirstNorthPremier
NOTEK,Norditek,FirstNorthPremier
OGUN-B,Ogunsen B,FirstNorthPremier
OPTI,OptiCept Technologies,FirstNorthPremier
OXE,OXE Marine,FirstNorthPremier
PCOM-B,Precomp Solutions B,FirstNorthPremier
RLOS-B,RanLOS,FirstNorthPremier
RO,Rolling Optics Holding,FirstNorthPremier
SAXG,Saxlund Group,FirstNorthPremier
SES,Scandinavian Enviro Systems,FirstNorthPremier
SERT,Serstech,FirstNorthPremier
SIBEK,Sibek,FirstNorthPremier
SILEON,Sileon,FirstNorthPremier
SEYE,Smart Eye,FirstNorthPremier
SUMMAS,Summa Defence,FirstNorthPremier
TEQ,Teqnion,FirstNorthPremier
TERNOR,Terranor Group,FirstNorthPremier
TRAIN-B,Train Alliance B,FirstNorthPremier
VSSAB-B,Viking Supply Ships B,FirstNorthPremier
VIMAB,Vimab Group,FirstNorthPremier
W5,W5 Solutions,FirstNorthPremier
WPAY,Westpay,FirstNorthPremier
AXIC-A,aXichem A,FirstNorthPremier
CINIS,Cinis Fertilizer,FirstNorthPremier
CLEM,Clemondo Group,FirstNorthPremier
ITECH,I-tech,FirstNorthPremier
IMPC,Impact Coatings,FirstNorthPremier
LCLEAN,LifeClean International,FirstNorthPremier
ORGC,OrganoClick,FirstNorthPremier
PCAT,Photocat,FirstNorthPremier
POLYG,Polygiene Group,FirstNorthPremier
AERO,Svenska Aerogel Holding,FirstNorthPremier
TRIBO-B,Tribox Group B,FirstNorthPremier
CIRCHE,CirChem,FirstNorthPremier
DE,Dala Energi,FirstNorthPremier
GIGA,Gigasun,FirstNorthPremier
MASHUP,Mashup Ireland,FirstNorthPremier
ARCT,Arctic Minerals,FirstNorthPremier
BIOEX,Bioextrax,FirstNorthPremier
BOTX,Botnia Exploration Holding,FirstNorthPremier
DMXSE-SDB,District Metals Corp SDB,FirstNorthPremier
FNMC-SDB,First Nordic Metals,FirstNorthPremier
LEMSE,Leading Edge Materials Corp.,FirstNorthPremier
LUC,Lucara Diamond Corp,FirstNorthPremier
NIO,Nordic Iron Ore,FirstNorthPremier
ADVBOX,Adventure Box Technology,FirstNorthPremier
BBROOM,Bubbleroom,FirstNorthPremier
CANDLE-B,Candles Scandinavia,FirstNorthPremier
CDON,CDON,FirstNorthPremier
CEDER,Cedergrenska,FirstNorthPremier
CLEMO,Clean Motion,FirstNorthPremier
DSNO,Desenio,FirstNorthPremier
ALBERT,eEducation Albert,FirstNorthPremier
ELLWEE,Ellwee,FirstNorthPremier
