Instrument,earningsGrowth_rank,revenueGrowth_rank,profitMargins_rank,grossMargins_rank,returnOnEquity_rank,returnOnAssets_rank,priceToBook_rank,forwardPE_rank,dividendYield_rank,Close_10_%_D_rank,10_50_%_D_rank,50_200_%_D_rank
HNSA,,68.0,40.0,61.0,,7.0,98.0,86.0,,21.0,73.0,23.0
HUM,93.0,50.0,47.0,21.0,61.0,65.0,86.0,66.0,43.0,65.0,37.0,49.0
MCAP,39.0,53.0,76.0,67.0,85.0,88.0,21.0,5.0,,84.0,87.0,47.0
RAY-B,78.0,76.0,85.0,95.0,91.0,91.0,10.0,9.0,10.0,85.0,84.0,94.0
SEDANA,,67.0,18.0,79.0,40.0,34.0,65.0,98.0,,28.0,30.0,17.0
XVIVO,,66.0,83.0,83.0,63.0,59.0,33.0,14.0,,1.0,7.0,10.0
ALIG,74.0,40.0,73.0,44.0,68.0,74.0,46.0,27.0,30.0,80.0,78.0,81.0
AQ,40.0,46.0,68.0,59.0,82.0,89.0,28.0,52.0,9.0,93.0,66.0,84.0
BERG-B,,53.0,37.0,55.0,44.0,48.0,28.0,20.0,17.0,51.0,27.0,57.0
BTS-B,16.0,49.0,80.0,50.0,90.0,83.0,38.0,35.0,42.0,34.0,60.0,25.0
BUFAB,68.0,43.0,68.0,31.0,82.0,83.0,26.0,73.0,15.0,30.0,78.0,65.0
AJA-B,,,34.0,100.0,46.0,94.0,74.0,7.0,5.0,55.0,75.0,47.0
CCCAB,,,,,,,3.0,,,91.0,71.0,48.0
CCC,2.0,27.0,47.0,61.0,60.0,72.0,4.0,2.0,,91.0,71.0,48.0
COOR,36.0,37.0,44.0,11.0,65.0,68.0,35.0,55.0,38.0,88.0,86.0,77.0
CTT,3.0,13.0,87.0,86.0,89.0,95.0,12.0,23.0,39.0,79.0,90.0,34.0
ELAN-B,,39.0,43.0,15.0,51.0,53.0,87.0,72.0,88.0,9.0,55.0,15.0
EPEN,22.0,28.0,65.0,60.0,74.0,78.0,41.0,41.0,13.0,80.0,67.0,55.0
EWRK,14.0,20.0,44.0,7.0,96.0,63.0,21.0,60.0,88.0,60.0,19.0,23.0
FAG,18.0,25.0,54.0,43.0,56.0,64.0,69.0,49.0,56.0,34.0,54.0,24.0
FG,,60.0,41.0,58.0,47.0,58.0,81.0,73.0,77.0,21.0,85.0,23.0
FMM-B,78.0,52.0,64.0,39.0,73.0,78.0,42.0,42.0,56.0,74.0,60.0,82.0
GREEN,,24.0,50.0,65.0,71.0,74.0,44.0,51.0,,34.0,47.0,36.0
HANZA,62.0,51.0,49.0,46.0,65.0,64.0,41.0,38.0,9.0,77.0,84.0,79.0
INSTAL,13.0,40.0,48.0,62.0,66.0,68.0,49.0,57.0,46.0,72.0,35.0,18.0
IVSO,26.0,55.0,83.0,64.0,94.0,99.0,7.0,9.0,5.0,56.0,70.0,75.0
INWI,83.0,58.0,64.0,25.0,74.0,81.0,51.0,42.0,42.0,4.0,34.0,72.0
ITAB,8.0,90.0,53.0,26.0,63.0,63.0,59.0,45.0,48.0,19.0,27.0,62.0
KAR,,52.0,49.0,47.0,52.0,52.0,23.0,6.0,,81.0,91.0,79.0
