,Category,Values,Ticker
2,Latest_clusterRank,62.33681462140992,SAMPO-SDB
3,Trend_clusterRank,24.086161879895563,SAMPO-SDB
0,Latest_clusterAvg,37.41514360313316,ALIF-B
1,Trend_clusterAvg,39.21671018276763,ALIF-B
2,Latest_clusterRank,17.16710182767624,ALIF-B
3,Trend_clusterRank,30.809399477806785,ALIF-B
0,Latest_clusterAvg,33.96866840731071,ASKER
1,Trend_clusterAvg,56.57963446475196,ASKER
2,Latest_clusterRank,11.22715404699739,ASKER
3,Trend_clusterRank,62.271540469973885,ASKER
0,Latest_clusterAvg,57.75456919060052,AZN
1,Trend_clusterAvg,83.73368146214099,AZN
2,Latest_clusterRank,73.36814621409921,AZN
3,Trend_clusterRank,97.32375979112271,AZN
0,Latest_clusterAvg,44.12532637075718,BIOA-B
1,Trend_clusterAvg,76.78851174934725,BIOA-B
2,Latest_clusterRank,32.375979112271544,BIOA-B
3,Trend_clusterRank,92.81984334203656,BIOA-B
0,Latest_clusterAvg,72.0626631853786,BONEX
1,Trend_clusterAvg,76.0574412532637,BONEX
2,Latest_clusterRank,93.21148825065274,BONEX
3,Trend_clusterRank,91.84073107049609,BONEX
0,Latest_clusterAvg,75.87467362924282,CAMX
1,Trend_clusterAvg,76.0574412532637,CAMX
2,Latest_clusterRank,96.54046997389034,CAMX
3,Trend_clusterRank,91.84073107049609,CAMX
0,Latest_clusterAvg,39.347258485639685,EKTA-B
1,Trend_clusterAvg,30.757180156657967,EKTA-B
2,Latest_clusterRank,21.01827676240209,EKTA-B
3,Trend_clusterRank,17.62402088772846,EKTA-B
0,Latest_clusterAvg,55.79634464751958,GETI-B
1,Trend_clusterAvg,24.151436031331592,GETI-B
2,Latest_clusterRank,68.34203655352479,GETI-B
3,Trend_clusterRank,10.378590078328982,GETI-B
0,Latest_clusterAvg,27.72845953002611,MCOV-B
1,Trend_clusterAvg,17.859007832898172,MCOV-B
2,Latest_clusterRank,5.221932114882506,MCOV-B
3,Trend_clusterRank,4.177545691906006,MCOV-B
0,Latest_clusterAvg,72.42819843342036,SECT-B
1,Trend_clusterAvg,71.12271540469973,SECT-B
2,Latest_clusterRank,93.86422976501305,SECT-B
3,Trend_clusterRank,86.0313315926893,SECT-B
0,Latest_clusterAvg,65.87467362924282,SOBI
1,Trend_clusterAvg,52.42819843342037,SOBI
2,Latest_clusterRank,84.53002610966057,SOBI
3,Trend_clusterRank,54.308093994778076,SOBI
0,Latest_clusterAvg,52.2976501305483,VIMIAN
1,Trend_clusterAvg,67.59791122715406,VIMIAN
2,Latest_clusterRank,60.50913838120104,VIMIAN
3,Trend_clusterRank,79.63446475195822,VIMIAN
0,Latest_clusterAvg,66.73629242819842,VITR
1,Trend_clusterAvg,48.302872062663184,VITR
2,Latest_clusterRank,85.77023498694517,VITR
3,Trend_clusterRank,45.561357702349866,VITR
0,Latest_clusterAvg,55.71801566579635,ABB
1,Trend_clusterAvg,58.48563968668407,ABB
2,Latest_clusterRank,68.1462140992167,ABB
3,Trend_clusterRank,65.0130548302872,ABB
0,Latest_clusterAvg,50.65274151436031,ADDT-B
1,Trend_clusterAvg,77.1018276762402,ADDT-B
2,Latest_clusterRank,56.6579634464752,ADDT-B
3,Trend_clusterRank,92.95039164490862,ADDT-B
0,Latest_clusterAvg,57.36292428198433,AFRY
1,Trend_clusterAvg,59.92167101827677,AFRY
2,Latest_clusterRank,72.19321148825065,AFRY
3,Trend_clusterRank,67.68929503916449,AFRY
0,Latest_clusterAvg,62.97650130548303,ALFA
1,Trend_clusterAvg,72.21932114882506,ALFA
2,Latest_clusterRank,81.91906005221932,ALFA
3,Trend_clusterRank,86.81462140992167,ALFA
0,Latest_clusterAvg,56.84073107049609,ASSA-B
1,Trend_clusterAvg,51.87989556135769,ASSA-B
2,Latest_clusterRank,70.88772845953002,ASSA-B
3,Trend_clusterRank,53.13315926892951,ASSA-B
0,Latest_clusterAvg,69.32114882506528,ATCO-A
1,Trend_clusterAvg,72.42819843342036,ATCO-A
2,Latest_clusterRank,89.88250652741515,ATCO-A
3,Trend_clusterRank,87.46736292428199,ATCO-A
0,Latest_clusterAvg,74.7780678851175,ATCO-B
1,Trend_clusterAvg,70.70496083550913,ATCO-B
2,Latest_clusterRank,95.75718015665797,ATCO-B
3,Trend_clusterRank,85.37859007832898,ATCO-B
0,Latest_clusterAvg,47.02349869451697,BEIJ-B
1,Trend_clusterAvg,77.36292428198433,BEIJ-B
2,Latest_clusterRank,42.42819843342037,BEIJ-B
3,Trend_clusterRank,93.21148825065274,BEIJ-B
0,Latest_clusterAvg,47.25848563968668,BRAV
1,Trend_clusterAvg,48.9556135770235,BRAV
2,Latest_clusterRank,43.21148825065274,BRAV
3,Trend_clusterRank,46.60574412532637,BRAV
0,Latest_clusterAvg,53.42036553524804,EPRO-B
1,Trend_clusterAvg,73.73368146214099,EPRO-B
2,Latest_clusterRank,63.51174934725849,EPRO-B
3,Trend_clusterRank,89.42558746736292,EPRO-B
0,Latest_clusterAvg,69.13838120104438,ENGCON-B
1,Trend_clusterAvg,52.37597911227154,ENGCON-B
2,Latest_clusterRank,89.42558746736292,ENGCON-B
3,Trend_clusterRank,54.177545691906005,ENGCON-B
0,Latest_clusterAvg,62.845953002610976,EPI-A
1,Trend_clusterAvg,41.95822454308094,EPI-A
2,Latest_clusterRank,81.72323759791122,EPI-A
3,Trend_clusterRank,35.37859007832898,EPI-A
0,Latest_clusterAvg,68.0939947780679,EPI-B
1,Trend_clusterAvg,39.81723237597911,EPI-B
2,Latest_clusterRank,87.72845953002611,EPI-B
3,Trend_clusterRank,31.853785900783286,EPI-B
0,Latest_clusterAvg,53.994778067885115,INDT
1,Trend_clusterAvg,60.13054830287206,INDT
2,Latest_clusterRank,64.62140992167102,INDT
3,Trend_clusterRank,68.01566579634465,INDT
0,Latest_clusterAvg,59.66057441253264,LIFCO-B
1,Trend_clusterAvg,68.77284595300262,LIFCO-B
2,Latest_clusterRank,76.37075718015666,LIFCO-B
3,Trend_clusterRank,82.50652741514361,LIFCO-B
0,Latest_clusterAvg,41.27937336814621,LIAB
1,Trend_clusterAvg,31.436031331592687,LIAB
2,Latest_clusterRank,25.06527415143603,LIAB
3,Trend_clusterRank,18.733681462140993,LIAB
0,Latest_clusterAvg,53.10704960835509,LOOMIS
1,Trend_clusterAvg,58.48563968668407,LOOMIS
2,Latest_clusterRank,62.66318537859008,LOOMIS
3,Trend_clusterRank,65.0130548302872,LOOMIS
0,Latest_clusterAvg,49.24281984334203,MTRS
1,Trend_clusterAvg,63.733681462141,MTRS
2,Latest_clusterRank,50.58746736292428,MTRS
3,Trend_clusterRank,73.10704960835508,MTRS
0,Latest_clusterAvg,57.67624020887729,NCC-A
1,Trend_clusterAvg,61.43603133159269,NCC-A
2,Latest_clusterRank,73.10704960835508,NCC-A
3,Trend_clusterRank,69.84334203655352,NCC-A
0,Latest_clusterAvg,49.73890339425587,NCC-B
1,Trend_clusterAvg,65.53524804177546,NCC-B
2,Latest_clusterRank,53.13315926892951,NCC-B
3,Trend_clusterRank,76.10966057441253,NCC-B
0,Latest_clusterAvg,34.64751958224543,NIBE-B
1,Trend_clusterAvg,22.48041775456919,NIBE-B
2,Latest_clusterRank,12.27154046997389,NIBE-B
3,Trend_clusterRank,8.355091383812011,NIBE-B
0,Latest_clusterAvg,60.44386422976502,NOLA-B
1,Trend_clusterAvg,47.57180156657963,NOLA-B
2,Latest_clusterRank,78.3289817232376,NOLA-B
3,Trend_clusterRank,44.12532637075718,NOLA-B
0,Latest_clusterAvg,70.65274151436032,OEM-B
1,Trend_clusterAvg,68.3289817232376,OEM-B
2,Latest_clusterRank,91.31853785900783,OEM-B
3,Trend_clusterRank,81.39686684073108,OEM-B
0,Latest_clusterAvg,49.84334203655352,PEAB-B
1,Trend_clusterAvg,64.93472584856397,PEAB-B
2,Latest_clusterRank,53.45953002610966,PEAB-B
3,Trend_clusterRank,74.28198433420366,PEAB-B
0,Latest_clusterAvg,50.287206266318535,SAAB-B
1,Trend_clusterAvg,71.51436031331593,SAAB-B
2,Latest_clusterRank,55.287206266318535,SAAB-B
3,Trend_clusterRank,86.42297650130548,SAAB-B
0,Latest_clusterAvg,62.088772845952995,SAND
1,Trend_clusterAvg,54.255874673629236,SAND
2,Latest_clusterRank,80.80939947780679,SAND
3,Trend_clusterRank,57.637075718015666,SAND
0,Latest_clusterAvg,40.07832898172323,SECU-B
1,Trend_clusterAvg,52.81984334203655,SECU-B
2,Latest_clusterRank,23.237597911227155,SECU-B
3,Trend_clusterRank,54.89556135770235,SECU-B
0,Latest_clusterAvg,45.117493472584854,SKA-B
1,Trend_clusterAvg,43.15926892950392,SKA-B
2,Latest_clusterRank,34.92167101827676,SKA-B
3,Trend_clusterRank,36.684073107049606,SKA-B
0,Latest_clusterAvg,68.19843342036555,SWEC-A
1,Trend_clusterAvg,54.38642297650131,SWEC-A
2,Latest_clusterRank,87.98955613577023,SWEC-A
3,Trend_clusterRank,57.83289817232375,SWEC-A
0,Latest_clusterAvg,57.02349869451697,SWEC-B
1,Trend_clusterAvg,58.72062663185378,SWEC-B
2,Latest_clusterRank,71.21409921671018,SWEC-B
3,Trend_clusterRank,65.40469973890339,SWEC-B
0,Latest_clusterAvg,53.49869451697127,SYSR
1,Trend_clusterAvg,68.06788511749347,SYSR
2,Latest_clusterRank,63.838120104438644,SYSR
3,Trend_clusterRank,80.80939947780679,SYSR
0,Latest_clusterAvg,39.32114882506527,8TRA
1,Trend_clusterAvg,73.18537859007833,8TRA
2,Latest_clusterRank,20.887728459530024,8TRA
3,Trend_clusterRank,88.70757180156657,8TRA
0,Latest_clusterAvg,65.95300261096605,TREL-B
1,Trend_clusterAvg,70.73107049608356,TREL-B
2,Latest_clusterRank,84.72584856396867,TREL-B
3,Trend_clusterRank,85.57441253263708,TREL-B
0,Latest_clusterAvg,56.65796344647519,VOLV-A
1,Trend_clusterAvg,57.467362924281986,VOLV-A
2,Latest_clusterRank,69.9738903394256,VOLV-A
3,Trend_clusterRank,63.315926892950394,VOLV-A
0,Latest_clusterAvg,49.55613577023498,VOLV-B
1,Trend_clusterAvg,59.86945169712794,VOLV-B
