Ticker,Basic_EPS_TTM,Total_Revenue_TTM
GARO,-1.04,1124300000.0
GBK,-1.32,187317000.0
GCOR,-0.37,38756128.0
GENI,2.39,179107000.0
GENO,0.41,121994000.0
GETI-B,5.47,35499000000.0
GGEO,0.51,199220000.0
GIG-SDB,-0.565185,35326756.0
GIGA,-0.67,189154000.0
GOMX,-0.5900000000000001,187589000.0
GOTL-A,45.30000000000001,2845700000.0
GOTL-B,45.30000000000001,2845700000.0
GPG,2.71,508800000.0
GPX,-1.19,26608000.0
GRANGX,-9.893219,17582000.0
GREAT,-1.05,30951000.0
GREEN,2.853952,6146000000.0
GRNG,9.31,26141000000.0
GUARD,-9.579273,0.0
HACK,0.3307,146341000.0
HAKI-A,0.88,1132000000.0
HAKI-B,0.88,1132000000.0
HANZA,3.66,5219000000.0
HAV-B,0.05,8298000.0
HAYPP,2.37,3704106000.0
HDW-B,-0.0123,22309000.0
HEART,-21.59,0.0
HEBA-B,1.435628,588700000.0
HEGR,0.0299999999999999,524400000.0
HELIO,-0.180834,27114000.0
HEM,5.74,1548200000.0
HERNO-B,0.100856,51571675.0
HEXA-B,0.351,5440500000.0
HEXI,-0.68,15000000.0
HIFA-B,0.38,319300000.0
HIGHCO-B,-0.2299999999999998,61003000.0
HILB-B,-0.8799999999999999,146024600.0
HM-B,6.209999999999999,233251000000.0
HMS,7.34,3332000000.0
HNSA,-8.690593,196472000.0
HOFI,9.98,3888000000.0
HOLM-A,17.2,22691000000.0
HOLM-B,17.2,22691000000.0
HOTEL,-0.48,89243000.0
HPOL-B,5.95,20049000000.0
HTRO,1.74,7563000000.0
HUFV-A,4.16,3218300000.0
HUM,4.12,10445000000.0
HUMBLE,0.2,7954000000.0
HUSQ-A,2.24,48184000000.0
HUSQ-B,2.24,48184000000.0
IAR-B,5.5,477600000.0
IBT-B,-9.34,0.0
ICO,-2.068,1580000.0
IDLDX,-0.19,59940000.0
IDUN-B,3.4000000000000004,2220318000.0
IMMNOV,-1.233161,914000.0
IMMU,-2.46,0.0
IMPC,-0.31,115800000.0
INCOAX,-0.23,69330055.0
INDT,7.39,32466000000.0
INDU-A,30.37,13162000000.0
INDU-C,30.37,13162000000.0
INFREA,-0.1,2219200000.0
INISS-B,1.34,2052240000.0
INIT,-0.22,0.0
INSP,-0.594656,1518000.0
INSTAL,1.04,13559000000.0
INT,4.550000000000001,388508000.0
INTEA-B,2.961338,1334000000.0
INTEA-D,2.961338,1334000000.0
INTEG-B,-1.55,91100000.0
INTRUM,-14.09,16932000000.0
INVE-A,7.629999999999999,79128000000.0
INVE-B,7.629999999999999,79128000000.0
INWI,9.74,9034000000.0
IPCO,0.45,809280000.0
IRIS,-2.575203,88182000.0
IRLAB-A,-1.5,98988000.0
IS,0.03,190900000.0
ISOFOL,-0.3,0.0
ITAB,0.6799999999999999,9385000000.0
ITECH,3.8,198061000.0
IVACC,-0.740587,13967000.0
IVSO,5.529999999999999,1707500000.0
IZAFE-B,-0.07,5862000.0
JLT,-0.35,118000000.0
JM,3.89,12367000000.0
JOMA,5.0200000000000005,659600000.0
K2A-B,-1.33,344800000.0
K2A-PREF,,344800000.0
K33,-0.001104,1259498000.0
KABE-B,16.990000000000002,3695000000.0
KAKEL,-1.97,149318000.0
KAMBI,0.289,169393000.0
KAN,-0.37,14000.0
KAR,0.529155,2633500000.0
KARNEL-B,2.1899999999999995,1559300000.0
KBC,1.275232,2848726000.0
KDEV,-0.0799999999999999,1904000.0
KEBNI-B,0.01,134542000.0
KENH,6.938893903907228e-18,58370000.0
KFAST-B,-0.41,1481200000.0
KINV-A,-9.14,-2525000000.0
KINV-B,-9.14,-2525000000.0
KJELL,-0.527587,2488785000.0
KLAR,-0.282689,10051000.0
KLARA-B,2.7253290000000003,671900000.0
KLIMAT,-0.12,26262359.0
KNOW,2.97,6052200000.0
KONT,0.0,29714000.0
LAGR-B,5.16,9610000000.0
LAMM-B,-8.456326,872400000.0
LARK,-2.26,326000.0
LATO-B,7.789999999999999,26649000000.0
LCLEAN,-0.475156,59437000.0
LEA,0.22,313850250.109402
LEMSE,-0.0142779999999999,0.0
LEVEL,-0.07,390884000.0
LIAB,3.959999999999999,13123000000.0
LIDDS,-0.05,0.0
LIFCO-B,7.52,27283000000.0
LIME,7.510000000000001,713492000.0
LINC,-7.52,5000000.0
LIPUM,-3.25,0.0
LITI,-0.07,74009454.0
LOGI-A,1.2000000000000002,994000000.0
LOGI-B,1.2000000000000002,994000000.0
LOOMIS,25.39,30622000000.0
LPGO,-0.1406009999999999,10288000.0
LUC,0.0288539999999999,197043000.0
LUG,2.03,1474103000.0
LUMEN,1.367972,245330000.0
LUMI,-0.0199999999999999,3303112000.0
LUND-B,20.68,29599000000.0
LYGRD,-0.19,185684000.0
LYKO-A,4.14,3715800000.0
MAGI,1.3877787807814457e-17,265482000.0
MAGLE,-0.5734770000000002,285588000.0
MAGNA,-0.152531,0.0
MAHA-A,-0.18,8222000.0
MANG,5.299999999999999,192500000.0
MANTEX,-8.85,1676000.0
MAV,-0.301,9046717.0
MAVEN,-0.14,203606000.0
MAXENT-B,-0.5900000000000001,75044000.0
MCAP,13.4,1902700000.0
MCOV-B,0.289,2258400000.0
MEAB-B,-3.35,501595000.0
MEDHLP,0.14,83327000.0
MEKO,4.69,18586000000.0
MER,-0.54,145700000.0
META,-0.18,83100000.0
MIDS,-0.3999999999999999,99749000.0
MILDEF,-5.2,1390200000.0
MINEST,-0.06,75000.0
MIPS,5.28,517000000.0
MMGR-B,3.6,2998000000.0
MNTC,-2.2,261611000.0
MOB,-5.46,12347000.0
MOBA,-0.253445,302091000.0
MODEL,-3.28,82200000.0
MODTX,-0.1813449999999999,0.0
MOMENT,-2.1500000000000004,1028000000.0
MSAB-B,1.66,407400000.0
MSON-A,0.15,3682000000.0
MSON-B,0.15,3682000000.0
MTG-A,-0.5499999999999998,8599000000.0
MTG-B,-0.5499999999999998,8599000000.0
MTRS,2.02,15445000000.0
MVIR,-0.97,3600000.0
MYCR,10.11,8047000000.0
NAIG-B,-0.39,2823000.0
NANECH,-0.082773,0.0
NANEXA,-0.22,19485000.0
NANOC-B,-2.75,-15110331.0
NANOFS,-0.25,3051000.0
NAVIGO-PREF,-2.57,648211000.0
NAVIGO-STAM,-2.57,648211000.0
NAXS,1.3699999999999992,20332000.0
NBZ,-0.0790889999999999,244878000.0
NCAB,0.99,3620600000.0
NCC-A,15.58,60220000000.0
NCC-B,15.58,60220000000.0
NDA-SE,1.38,11870000000.0
NELLY,4.24,1167500000.0
NEO-B,-0.882836,66104000.0
NEOBO,-0.58,920000000.0
NEOLA,-0.16,0.0
NEPA,-2.1,259922000.0
NETEL,-0.5599999999999999,3333000000.0
NETI-B,0.0099999999999999,546593000.0
NEWA-B,6.486334,9619600000.0
NEWBRY,-0.4621229999999999,46781000.0
NEXAM,-0.171129,196315000.0
NFGAB,0.01,231986000.0
NGS,-0.16,321163000.0
