,Total_Revenue_AvgGrowth,Total_Revenue_year_2021,Total_Revenue_year_2022,Total_Revenue_year_2023,Total_Revenue_year_2024,Basic_EPS_AvgGrowth,Basic_EPS_year_2021,Basic_EPS_year_2022,Basic_EPS_year_2023,Basic_EPS_year_2024,Total_Revenue_year_2025,Basic_EPS_year_2025,Total_Revenue_year_2020,Basic_EPS_year_2020,Total_Revenue_AvgGrowth_Rank,Basic_EPS_AvgGrowth_Rank
HOLM-B,0.05991589145484929,19479000000.0,23952000000.0,22795000000.0,22759000000.0,0.1261265577471111,18.5,36.3,23.0,18.0,,,,,28.050595238095237,57.41797432239658
LUG,0.18022364735574392,733329000.0,815666000.0,902518000.0,1193050000.0,0.7066779852857952,0.95,0.31,0.76,1.78,,,,,63.541666666666664,85.4493580599144
LUMI,0.021087418747132686,3328765000.0,3041228000.0,2743444000.0,3422604000.0,-0.9189454540184911,1.06,0.56,0.31,-0.26,,,,,19.49404761904762,15.549215406562054
SCA-A,0.03108844789996602,18822000000.0,20794000000.0,18081000000.0,20232000000.0,-0.10980055247668276,8.46,9.61,5.23,5.18,,,,,22.991071428571427,37.44650499286733
SCA-B,0.03108844789996602,18822000000.0,20794000000.0,18081000000.0,20232000000.0,-0.10980055247668276,8.46,9.61,5.23,5.18,,,,,22.991071428571427,37.44650499286733
SKF-A,0.06933389541302003,81732000000.0,96933000000.0,103881000000.0,98722000000.0,0.017776647852435632,16.1,9.81,14.04,14.22,,,,,30.877976190476193,47.28958630527818
SKF-B,0.06933389541302003,81732000000.0,96933000000.0,103881000000.0,98722000000.0,0.017776647852435632,16.1,9.81,14.04,14.22,,,,,30.877976190476193,47.28958630527818
SSAB-A,0.04542617210572942,93155000000.0,124979000000.0,116471000000.0,100483000000.0,-0.009139943855364577,14.24,-10.57,12.67,6.54,,,,,25.669642857142854,44.864479315263914
SSAB-B,0.04542617210572942,93155000000.0,124979000000.0,116471000000.0,100483000000.0,-0.009139943855364577,14.24,-10.57,12.67,6.54,,,,,25.669642857142854,44.864479315263914
STE-A,-0.027774892516188327,10164000000.0,11680000000.0,9396000000.0,9049000000.0,-0.1275338964149381,1.61,1.97,-0.45,-0.17,,,,,13.616071428571427,36.30527817403709
STE-R,-0.027774892516188327,10164000000.0,11680000000.0,9396000000.0,9049000000.0,-0.1275338964149381,1.61,1.97,-0.45,-0.17,,,,,13.616071428571427,36.30527817403709
TROAX,0.03677938783493534,252278000.0,284081000.0,264272000.0,278544000.0,-0.07516145057128665,0.66,0.61,0.6,0.52,,,,,24.25595238095238,39.942938659058484
ASMDEE-B,,,,,,,,,,,,,,,50.0,50.0
ALIV-SDB,0.08364475130112442,8230000000.0,8842000000.0,10475000000.0,10390000000.0,0.18780980208383646,4.97,4.85,5.72,8.054863,,,,,36.160714285714285,64.33666191155493
BETS-B,0.18958684852273536,657704000.0,777200000.0,948200000.0,1106600000.0,0.20713301667591966,0.78,0.87,1.29,1.32,,,,,65.47619047619048,66.33380884450784
BILI-A,0.03385998920894266,35509000000.0,35345000000.0,38514000000.0,39151000000.0,-0.17970629570275895,14.9,17.43,10.12,7.19,,,,,23.809523809523807,33.523537803138375
DOM,0.06764185804481644,21516000000.0,29764000000.0,27775000000.0,24620000000.0,-0.9939016528712514,5.58,5.58,4.17,-7.21,,,,,30.357142857142854,14.978601997146935
ELUX-A,0.027692111112474268,125631000000.0,134880000000.0,134451000000.0,136150000000.0,-1.1954626826846881,16.31,-4.81,-19.36,-5.16,,,,,22.098214285714285,12.482168330955776
ELUX-B,0.027692111112474268,125631000000.0,134880000000.0,134451000000.0,136150000000.0,-1.1954626826846881,16.31,-4.81,-19.36,-5.16,,,,,22.098214285714285,12.482168330955776
EMBRAC-B,0.2502501778604377,,17067000000.0,37665000000.0,27409000000.0,-0.1627162493390979,,6.48,25.02,-91.68,22370000000.0,28.88,,,72.02380952380952,34.950071326676174
EVO,0.24824069935770923,1068777000.0,1456737000.0,1798601000.0,2063085000.0,0.28324763006973486,2.83,3.95,5.01,5.94,,,,,71.42857142857143,70.75606276747504
FOI-B,0.02308045434099779,649947000.0,759237000.0,739444000.0,685582000.0,-0.44324713534290455,1.608968,1.734322,0.237,0.108,,,,,20.238095238095237,22.82453637660485
HM-B,0.05760212828810649,198967000000.0,223553000000.0,236035000000.0,234478000000.0,0.3840515582882578,6.65,2.161413,5.37,7.21,,,,,27.827380952380953,77.03281027104137
HUSQ-A,0.013924196627935079,47058000000.0,54036000000.0,53260000000.0,48352000000.0,-0.2767755466909123,7.76,3.39,3.81,2.32,,,,,18.526785714285715,28.88730385164051
HUSQ-B,0.013924196627935079,47058000000.0,54036000000.0,53260000000.0,48352000000.0,-0.2767755466909123,7.76,3.39,3.81,2.32,,,,,18.526785714285715,28.88730385164051
JM,-0.02644593185373836,15650000000.0,14577000000.0,15969000000.0,14272000000.0,-0.36246684149885017,26.1,22.3,15.95,5.47,,,,,14.136904761904761,25.82025677603424
MIPS,-0.028989653961986772,608000000.0,563000000.0,357000000.0,483000000.0,0.07940035724688643,9.75,6.68,2.43,5.32,,,,,13.392857142857142,53.20970042796006
NEWA-B,0.1312096275412841,6718600000.0,8843600000.0,9512900000.0,9528700000.0,0.0936219599012973,5.73,8.81,8.43,6.63,,,,,48.80952380952381,53.92296718972895
THULE,-0.02610711831982529,10386000000.0,10138000000.0,9132000000.0,9541000000.0,-0.13910337043745022,17.12,12.19,10.45,10.59,,,,,14.285714285714285,35.94864479315264
VOLCAR-B,0.12745671312060375,282045000000.0,330145000000.0,399343000000.0,400234000000.0,0.04196408122922213,4.72,5.23,4.38,5.17,,,,,47.023809523809526,49.35805991440799
ANOD-B,0.25469561870921925,4077000000.0,6225000000.0,7412000000.0,7757000000.0,0.2995456245297717,1.66,2.86,2.09,3.02,,,,,72.47023809523809,73.03851640513552
BETCO,0.2904164721853899,177052000.0,269297000.0,326685000.0,371487000.0,0.39079587608999367,0.34,0.88,0.74,0.55,,,,,75.29761904761905,77.31811697574894
HACK,,,,,,,,,,,,,,,50.0,50.0
HEXA-B,0.07857045343927861,4341100000.0,5160500000.0,5435200000.0,5401100000.0,0.0868418958492488,0.308,0.374,0.32,0.381,,,,,34.077380952380956,53.49500713266762
