Ticker,Metric,Values
CORE-PREF,ROIC_ttm,0.029451556039352327
CORE-PREF,Soliditet_ttm,0.351468969012706
CORE-PREF,Skuldsättningsgrad_ttm,1.4892093485827946
CORE-PREF,Bruttomarginal_ttm,0.6393897364771152
CORE-PREF,Rörelsemarginal_ttm,0.5986130374479889
CORE-PREF,Vinstmarginal_ttm,-0.45575589459084603
CORE-PREF,PE_tal_ttm,
CORE-PREF,PB_tal_ttm,0.1543423669816012
CORE-PREF,EV_EBITDA_ttm,17.416081949651847
CORE-PREF,Rörelseflödesmarginal_ttm,0.2665742024965326
CORE-PREF,Kassaflöde_till_Skuld_ttm,0.03208895418725791
FABG,ROE_ttm,0.005353147970597635
FABG,ROIC_ttm,0.01162468480102024
FABG,Soliditet_ttm,0.4489454301975226
FABG,Skuldsättningsgrad_ttm,0.9474272930648769
FABG,Bruttomarginal_ttm,0.6929198682766191
FABG,Rörelsemarginal_ttm,0.6566959385290889
FABG,Vinstmarginal_ttm,0.055159165751920966
FABG,PE_tal_ttm,132.265625
FABG,PB_tal_ttm,0.7091973573239587
FABG,EV_EBITDA_ttm,48.99995458849488
FABG,Rörelseflödesmarginal_ttm,0.37760702524698136
FABG,Kassaflöde_till_Skuld_ttm,0.03867993478383089
FPAR-A,ROE_ttm,0.02669612632517787
FPAR-A,ROIC_ttm,0.028512780067788155
FPAR-A,Soliditet_ttm,0.40805584888597246
FPAR-A,Skuldsättningsgrad_ttm,1.1876499165534902
FPAR-A,Bruttomarginal_ttm,0.7017250484069706
FPAR-A,Rörelsemarginal_ttm,0.6641436366836825
FPAR-A,Vinstmarginal_ttm,0.17386903714134835
FPAR-A,PE_tal_ttm,28.40909090909091
FPAR-A,PB_tal_ttm,0.6145311792647248
FPAR-A,EV_EBITDA_ttm,20.077994850825384
FPAR-A,Rörelseflödesmarginal_ttm,0.33031156486534063
FPAR-A,Kassaflöde_till_Skuld_ttm,0.04270329007629245
FPAR-D,ROE_ttm,0.02669612632517787
FPAR-D,ROIC_ttm,0.028512780067788155
FPAR-D,Soliditet_ttm,0.40805584888597246
FPAR-D,Skuldsättningsgrad_ttm,1.1876499165534902
FPAR-D,Bruttomarginal_ttm,0.7017250484069706
FPAR-D,Rörelsemarginal_ttm,0.6641436366836825
FPAR-D,Vinstmarginal_ttm,0.17386903714134835
FPAR-D,PE_tal_ttm,42.95454545454545
FPAR-D,PB_tal_ttm,0.07488077351874
FPAR-D,EV_EBITDA_ttm,14.030158988338634
FPAR-D,Rörelseflödesmarginal_ttm,0.33031156486534063
FPAR-D,Kassaflöde_till_Skuld_ttm,0.04270329007629245
HEM,ROE_ttm,0.47869367796018164
HEM,ROIC_ttm,0.3281975818082409
HEM,Soliditet_ttm,0.5113641437820943
HEM,Skuldsättningsgrad_ttm,0.5024449877750611
HEM,Bruttomarginal_ttm,1.0080738922619816
HEM,Rörelsemarginal_ttm,0.4598889032424751
HEM,Vinstmarginal_ttm,0.3540886190414675
HEM,PE_tal_ttm,46.13240418118467
HEM,PB_tal_ttm,20.740924764233323
HEM,EV_EBITDA_ttm,30.16029794341269
HEM,Rörelseflödesmarginal_ttm,0.40143392326572797
HEM,Kassaflöde_till_Skuld_ttm,1.0801181786583247
HUFV-A,ROE_ttm,0.02994118441920503
HUFV-A,ROIC_ttm,0.02481896130324507
HUFV-A,Soliditet_ttm,0.5736344925638311
HUFV-A,Skuldsättningsgrad_ttm,0.3887980143518551
HUFV-A,Bruttomarginal_ttm,0.4942360873753224
HUFV-A,Rörelsemarginal_ttm,0.4772395364012056
HUFV-A,Vinstmarginal_ttm,0.2616288102414318
HUFV-A,PE_tal_ttm,30.072115384615383
HUFV-A,PB_tal_ttm,0.8631703376028561
HUFV-A,EV_EBITDA_ttm,
HUFV-A,Rörelseflödesmarginal_ttm,0.43728055184414133
HUFV-A,Kassaflöde_till_Skuld_ttm,0.12871214684873372
NP3,ROE_ttm,0.09607783520826998
NP3,ROIC_ttm,0.06052442826368409
NP3,Soliditet_ttm,0.38143652389052113
NP3,Skuldsättningsgrad_ttm,1.3430627343670822
NP3,Bruttomarginal_ttm,0.765147956787224
NP3,Rörelsemarginal_ttm,0.7252231094410522
NP3,Vinstmarginal_ttm,0.4452794739314232
NP3,PE_tal_ttm,18.220338983050848
NP3,PB_tal_ttm,1.6102003040437822
NP3,EV_EBITDA_ttm,15.833066958424508
NP3,Rörelseflödesmarginal_ttm,0.46735556599342415
NP3,Kassaflöde_till_Skuld_ttm,0.07508300633866587
NP3-PREF,ROE_ttm,0.09607783520826998
NP3-PREF,ROIC_ttm,0.06052442826368409
NP3-PREF,Soliditet_ttm,0.38143652389052113
NP3-PREF,Skuldsättningsgrad_ttm,1.3430627343670822
NP3-PREF,Bruttomarginal_ttm,0.765147956787224
NP3-PREF,Rörelsemarginal_ttm,0.7252231094410522
NP3-PREF,Vinstmarginal_ttm,0.4452794739314232
NP3-PREF,PE_tal_ttm,
NP3-PREF,PB_tal_ttm,0.1696197547380156
NP3-PREF,EV_EBITDA_ttm,8.057241859956237
NP3-PREF,Rörelseflödesmarginal_ttm,0.46735556599342415
NP3-PREF,Kassaflöde_till_Skuld_ttm,0.07508300633866587
NYF,ROE_ttm,0.010589163005519884
NYF,ROIC_ttm,0.0338452309528903
NYF,Soliditet_ttm,0.4179575309572014
NYF,Skuldsättningsgrad_ttm,1.2083474146671174
NYF,Bruttomarginal_ttm,0.6997804610318331
NYF,Rörelsemarginal_ttm,0.648463227222832
NYF,Vinstmarginal_ttm,0.05159165751920966
NYF,PE_tal_ttm,123.9705882352941
NYF,PB_tal_ttm,0.9880962825278811
NYF,EV_EBITDA_ttm,16.45309411764706
NYF,Rörelseflödesmarginal_ttm,0.38309549945115257
NYF,Kassaflöde_till_Skuld_ttm,0.06507248403486691
PNDX-B,ROE_ttm,0.041915063610103866
PNDX-B,ROIC_ttm,0.036069617058127286
PNDX-B,Soliditet_ttm,0.39880879433319444
PNDX-B,Skuldsättningsgrad_ttm,1.2561305389957593
PNDX-B,Bruttomarginal_ttm,0.5438108484005564
PNDX-B,Rörelsemarginal_ttm,0.5144645340751043
PNDX-B,Vinstmarginal_ttm,0.18970792767732964
PNDX-B,PE_tal_ttm,24.935064935064936
PNDX-B,PB_tal_ttm,0.6350992071784156
PNDX-B,EV_EBITDA_ttm,15.376982477967859
PNDX-B,Rörelseflödesmarginal_ttm,0.2674547983310153
PNDX-B,Kassaflöde_till_Skuld_ttm,0.047043569733591015
SAGA-A,ROE_ttm,0.11258999035154994
SAGA-A,ROIC_ttm,0.07168864176823654
SAGA-A,Soliditet_ttm,0.47880833925610045
SAGA-A,Skuldsättningsgrad_ttm,0.9060142005393236
SAGA-A,Bruttomarginal_ttm,0.9198184568835098
SAGA-A,Rörelsemarginal_ttm,0.7933055975794251
SAGA-A,Vinstmarginal_ttm,0.8606278366111951
SAGA-A,PE_tal_ttm,16.535433070866144
SAGA-A,PB_tal_ttm,0.1374608742980134
SAGA-A,EV_EBITDA_ttm,6.947115105540897
SAGA-A,Rörelseflödesmarginal_ttm,0.663767019667171
SAGA-A,Kassaflöde_till_Skuld_ttm,0.09584402817978264
SAGA-B,ROE_ttm,0.11258999035154994
SAGA-B,ROIC_ttm,0.07168864176823654
SAGA-B,Soliditet_ttm,0.47880833925610045
SAGA-B,Skuldsättningsgrad_ttm,0.9060142005393236
