Ticker,market_cap
NOVKAN,30902488.0
PTRK,302450240.0
SPEC,46473212.0
SPRINT,63942416.0
BYGGP,1405615360.0
NYAB,4683361792.0
QAIR,343247520.0
SALT-B,1403764608.0
TAGM-B,221177648.0
TSEC,134189432.0
NEXAM,291296864.0
AGES-B,409418816.0
DRIL,160560000.0
GRANGX,642647360.0
ACROUD,168747184.0
BOKUS,1036908672.0
EMBELL,896825216.0
LYKO-A,2076037760.0
MAGI,276869120.0
PDX,18505152512.0
RAKE,122105416.0
RUG,1587984768.0
THUNDR,86059776.0
ZZ-B,4828841984.0
4C,570297472.0
ACAST,3433996288.0
ADVE,875319296.0
AVEN,370489984.0
BRIGHT,13602552.0
CAG,824274240.0
CX,661703808.0
DEVP-B,172324608.0
DIST,85480216.0
FRACTL,1103629056.0
FREJA,397131584.0
MNTC,306570496.0
ONEF,775100992.0
PRCO-B,194949312.0
TERRNT-B,143852176.0
AAC,651391168.0
AGTIRA-B,281880736.0
ARCTIC,22792336.0
DUG,115512024.0
HAYPP,4869096448.0
HERNO-B,153852720.0
HIGHCO-B,260719680.0
INT,3067891712.0
NNH,147445760.0
NICO,30537706.0
SNX,524765440.0
SIMRIS-B,79080824.0
SKMO,660000000.0
SECARE,5498529280.0
AEC,551036800.0
CIRCLE-B,53265536.0
META,818153664.0
MINEST,389584512.0
SNM,5020800512.0
SOLT,253961104.0
ALM,2201206784.0
ALM-PREF,2201058048.0
DOXA,699328704.0
TINGS-A,568579008.0
TINGS-B,559348864.0
TINGS-PREF,
TITA-B,560560000.0
CASE,843230016.0
FIRST-B,76174144.0
FLAT-B,1949847296.0
NAIG-B,62059132.0
NFGAB,19958600.0
SFL,113699776.0
TEQ,2698456832.0
VH,42400000.0
ACOU,66666292.0
AINO,42959512.0
ALZ,114130000.0
ANNX,196242864.0
ARCOMA,131352128.0
BIOSGN,118820544.0
BRAIN,230079200.0
CRNO-B,2628322304.0
CMH,15819774.0
CMH-PREF,
CLS-B,205332752.0
CLBIO,486142784.0
DMYD-B,1564746880.0
DICOT,1657707520.0
ELIC,351882688.0
ERMA,159790064.0
ENZY,541299264.0
EXPRS2,56489852.0
FLUI,24177174.0
FLUO,544805952.0
GABA,8456134.0
GENO,1567903872.0
GUARD,389235296.0
ICO,115673528.0
IDLDX,90992624.0
INIT,230686256.0
INTEG-B,283319872.0
IVACC,350355968.0
IZAFE-B,173704256.0
KLAR,71945112.0
KONT,69621560.0
LIDDS,8815531.0
LPGO,87557432.0
LIPUM,243943040.0
MAGLE,398532928.0
MODTX,41569912.0
NANEXA,345197056.0
NEOLA,179285536.0
NEWBRY,67176560.0
NXTCL,108719528.0
ONCOZ,69459536.0
ORTI-A,43303036.0
ORTI-B,48123404.0
ORT-B,634013184.0
OSSD,1491110784.0
PAX,1615175168.0
PERP-B,19669282.0
PRO,321169536.0
PLUN,2935482.0
QLIFE,39825984.0
SDOS,62142088.0
CMOTEC-B,148142160.0
HEART,107328376.0
SCIB,155732656.0
SENZA,183515040.0
SPAGO,62849412.0
STABL,17763302.0
STIL,1770133120.0
SUS,4638284800.0
XINT,274229344.0
XPC,50880916.0
ABSO,3034019328.0
ACUVI,902256832.0
AXOLOT,119407784.0
BOMILL,88070224.0
CALVIK,188007856.0
CARE,566800768.0
CI,50138324.0
DLAB,34906648.0
ESGR-B,109988896.0
FERRO,222265120.0
FIRE,1081452288.0
FLEXQ,148786096.0
FREEM,398274208.0
GPX,67343368.0
GOTL-A,6649999872.0
GOTL-B,6649999872.0
GGEO,94865448.0
HEGR,27164848.0
HELIO,35179428.0
HILB-B,948821760.0
IDUN-B,3868157440.0
LYGRD,190575232.0
NEPA,125417816.0
NJOB,41798080.0
LEVEL,107834136.0
NOTEK,163658560.0
OGUN-B,263578352.0
OPTI,269813728.0
PCOM-B,20180182.0
RO,206376976.0
SAXG,73790352.0
SES,1117687552.0
SERT,136060688.0
SIBEK,527969888.0
SILEON,9324499.0
SEYE,3226890752.0
TRAIN-B,1424895744.0
VSSAB-B,1460693632.0
VIMAB,177113488.0
W5,922659904.0
WPAY,165812912.0
AXIC-A,177344704.0
CINIS,132416704.0
CLEM,127390440.0
ITECH,1134989696.0
IMPC,286956416.0
LCLEAN,58738928.0
ORGC,189205184.0
POLYG,310479392.0
AERO,37392940.0
TRIBO-B,45720524.0
CIRCHE,60476280.0
DE,1212840576.0
GIGA,175023504.0
BIOEX,125146768.0
BOTX,563109376.0
DMXSE-SDB,1315260032.0
FNMC-SDB,1107436288.0
LEMSE,391172480.0
LUC,628794496.0
NIO,335501472.0
BBROOM,72753920.0
CANDLE-B,346042752.0
CDON,844478784.0
CEDER,534572992.0
DSNO,365252160.0
ALBERT,111572392.0
EMB,276229120.0
FRAG,106066224.0
FSPORT,11312521.0
GCOR,149804784.0
GBK,75622984.0
KAKEL,29324592.0
KAMBI,3200983808.0
KJELL,612594560.0
MAV,5279577.0
MAXENT-B,12215326.0
NANOC-B,33011326.0
BOAT,637336192.0
NITRO,37585940.0
NREST,2621540864.0
NBZ,24570330.0
OBAB,306432160.0
QIIWI,27008518.0
REALFI,95087184.0
SBOK,309612640.0
SCOUT,65758536.0
SKOLON,822864000.0
SOZAP,6671464.0
STORY-B,6161990656.0
BUY,41058776.0
SODER,228378832.0
TELLUS,79899392.0
TOURN,47401284.0
UTG,277341664.0
USWE,114184448.0
ACCON,358295520.0
ADTR,484928576.0
BUSER,144907472.0
BEAMMW-B,270017984.0
BIM,871723520.0
BRILL,68964808.0
CHARGE,72726752.0
CHECK,164973056.0
CLAV,1289159424.0
CDMIL,196151792.0
COMPDM,48184052.0
CFISH,279845184.0
DIAH,37500448.0
DIVIO-B,46236856.0
DONE,634473216.0
ENERS,20782436.0
EXS,1900324608.0
FLEXM,232601840.0
FLOWS,60340672.0
FRAM-B,19159914.0
GENI,608454976.0
GREAT,336384608.0
HIFA-B,200768400.0
INSP,20184864.0
IRIS,24221426.0
JLT,47374800.0
K33,600834816.0
KLIMAT,119054160.0
LITI,209901088.0
MODEL,211863888.0
NOSA,178218208.0
OPTER,541200000.0
QLOSR-B,2288380.0
QCORE,21450250.0
SFTR,187017520.0
SPEONE,59875344.0
TENEO,276160800.0
UPSALE,521989664.0
VERT-B,2170366464.0
VO2,129391160.0
VUXEN,143360000.0
XMR,13746311.0
ZAPLOX,35660288.0
ALCA,509829312.0
BAHN-B,6174238720.0
BRE2,2861714688.0
EFFH,76597408.0
GAPW-B,694562496.0
INCOAX,139143472.0
KEBNI-B,601964992.0
LUMEN,641619904.0
MAVEN,568379520.0
TALK,84387304.0
TESSIN,32598112.0
WAYS,301809152.0
WYLD,21851316.0
