Metric,Date,Value,Ticker,Segment,CAGR_Dimension
Basic EPS,2024-12-31,2.82,BALD-B,income_statement,Basic EPS
Total Revenue,2021-12-31,6353000000.0,CAST,income_statement,Total Revenue
Total Revenue,2022-12-31,8928000000.0,CAST,income_statement,Total Revenue
Total Revenue,2023-12-31,9806000000.0,CAST,income_statement,Total Revenue
Total Revenue,2024-12-31,9784000000.0,CAST,income_statement,Total Revenue
Basic EPS,2021-12-31,35.122271,CAST,income_statement,Basic EPS
Basic EPS,2022-12-31,4.44,CAST,income_statement,Basic EPS
Basic EPS,2023-12-31,-25.68,CAST,income_statement,Basic EPS
Basic EPS,2024-12-31,4.79,CAST,income_statement,Basic EPS
Total Revenue,2021-12-31,1387000000.0,CATE,income_statement,Total Revenue
Total Revenue,2022-12-31,1544000000.0,CATE,income_statement,Total Revenue
Total Revenue,2023-12-31,1808000000.0,CATE,income_statement,Total Revenue
Total Revenue,2024-12-31,2193000000.0,CATE,income_statement,Total Revenue
Basic EPS,2021-12-31,66.63,CATE,income_statement,Basic EPS
Basic EPS,2022-12-31,44.68,CATE,income_statement,Basic EPS
Basic EPS,2023-12-31,19.74,CATE,income_statement,Basic EPS
Basic EPS,2024-12-31,19.36,CATE,income_statement,Basic EPS
Total Revenue,2021-12-31,2912000000.0,CORE-A,income_statement,Total Revenue
Total Revenue,2022-12-31,4491000000.0,CORE-A,income_statement,Total Revenue
Total Revenue,2023-12-31,4244000000.0,CORE-A,income_statement,Total Revenue
Total Revenue,2024-12-31,3695000000.0,CORE-A,income_statement,Total Revenue
Basic EPS,2021-12-31,5.52,CORE-A,income_statement,Basic EPS
Basic EPS,2022-12-31,-2.25,CORE-A,income_statement,Basic EPS
Basic EPS,2023-12-31,-7.88,CORE-A,income_statement,Basic EPS
Basic EPS,2024-12-31,-1.43,CORE-A,income_statement,Basic EPS
Total Revenue,2021-12-31,2912000000.0,CORE-B,income_statement,Total Revenue
Total Revenue,2022-12-31,4491000000.0,CORE-B,income_statement,Total Revenue
Total Revenue,2023-12-31,4244000000.0,CORE-B,income_statement,Total Revenue
Total Revenue,2024-12-31,3695000000.0,CORE-B,income_statement,Total Revenue
Basic EPS,2021-12-31,5.52,CORE-B,income_statement,Basic EPS
Basic EPS,2022-12-31,-2.25,CORE-B,income_statement,Basic EPS
Basic EPS,2023-12-31,-7.88,CORE-B,income_statement,Basic EPS
Basic EPS,2024-12-31,-1.43,CORE-B,income_statement,Basic EPS
Total Revenue,2021-12-31,2912000000.0,CORE-D,income_statement,Total Revenue
Total Revenue,2022-12-31,4491000000.0,CORE-D,income_statement,Total Revenue
Total Revenue,2023-12-31,4244000000.0,CORE-D,income_statement,Total Revenue
Total Revenue,2024-12-31,3695000000.0,CORE-D,income_statement,Total Revenue
Basic EPS,2021-12-31,5.52,CORE-D,income_statement,Basic EPS
Basic EPS,2022-12-31,-2.25,CORE-D,income_statement,Basic EPS
Basic EPS,2023-12-31,-7.88,CORE-D,income_statement,Basic EPS
Basic EPS,2024-12-31,-1.43,CORE-D,income_statement,Basic EPS
Total Revenue,2021-12-31,2912000000.0,CORE-PREF,income_statement,Total Revenue
Total Revenue,2022-12-31,4491000000.0,CORE-PREF,income_statement,Total Revenue
Total Revenue,2023-12-31,4244000000.0,CORE-PREF,income_statement,Total Revenue
Total Revenue,2024-12-31,3695000000.0,CORE-PREF,income_statement,Total Revenue
Basic EPS,2021-12-31,5.52,CORE-PREF,income_statement,Basic EPS
