Ticker,Year,Value
HUFV-A,2012,2.45
HUFV-A,2013,2.6
HUFV-A,2014,2.75
HUFV-A,2015,2.9
HUFV-A,2016,3.1
HUFV-A,2017,3.3
HUFV-A,2018,3.5
HUFV-A,2019,3.7
HUFV-A,2020,3.9
HUFV-A,2021,2.5
HUFV-A,2022,2.6
HUFV-A,2023,2.7
HUFV-A,2024,2.7
HUFV-A,2025,2.8
NP3,2015,0.5
NP3,2016,2.15
NP3,2017,2.4
NP3,2018,2.7
NP3,2019,3.0
NP3,2020,3.4
NP3,2021,3.6
NP3,2022,4.3
NP3,2023,3.75
NP3,2024,2.25
NP3,2025,4.4
NP3-PREF,2018,3.899296
NP3-PREF,2019,5.0
NP3-PREF,2020,2.0
NP3-PREF,2021,2.0
NP3-PREF,2022,2.0
NP3-PREF,2023,2.0
NP3-PREF,2024,2.0
NP3-PREF,2025,2.0
NYF,2021,4.0
NYF,2022,3.8
NYF,2023,4.0
NYF,2025,1.4
PNDX-B,2016,3.8
PNDX-B,2017,4.1
PNDX-B,2018,4.4
PNDX-B,2019,4.7
PNDX-B,2023,2.5
PNDX-B,2024,4.0
PNDX-B,2025,4.25
SAGA-A,2011,0.095455
SAGA-A,2012,0.181818
SAGA-A,2013,0.215
SAGA-A,2014,0.275
SAGA-A,2015,0.4
SAGA-A,2016,0.575
SAGA-A,2017,0.725
SAGA-A,2018,0.9
SAGA-A,2019,1.0
SAGA-A,2020,1.3
SAGA-A,2021,1.65
SAGA-A,2022,2.15
SAGA-A,2023,2.7
SAGA-A,2024,3.1
SAGA-A,2025,3.5
SAGA-B,2013,0.215
SAGA-B,2014,0.275
SAGA-B,2015,0.4
SAGA-B,2016,0.575
SAGA-B,2017,0.725
SAGA-B,2018,1.9
SAGA-B,2019,1.0
SAGA-B,2020,1.3
SAGA-B,2021,1.65
SAGA-B,2022,2.15
SAGA-B,2023,2.7
SAGA-B,2024,3.1
SAGA-B,2025,3.5
SAGA-D,2016,0.492424
SAGA-D,2017,1.969696
SAGA-D,2018,1.992424
SAGA-D,2019,2.0
SAGA-D,2020,2.0
SAGA-D,2021,2.0
SAGA-D,2022,2.0
SAGA-D,2023,2.0
SAGA-D,2024,2.0
SAGA-D,2025,1.5
WALL-B,2000,0.020833
WALL-B,2001,0.026667
WALL-B,2002,0.033333
WALL-B,2003,0.066667
WALL-B,2005,0.125
WALL-B,2006,0.166667
WALL-B,2007,0.208333
WALL-B,2008,0.25
WALL-B,2009,0.25
WALL-B,2010,0.045
WALL-B,2011,0.291667
WALL-B,2012,0.3
WALL-B,2013,0.3125
WALL-B,2014,0.5
WALL-B,2015,0.5625
WALL-B,2016,0.75
WALL-B,2017,0.85
WALL-B,2018,0.9
WALL-B,2019,0.95
WALL-B,2020,0.25
WALL-B,2021,0.6
WALL-B,2022,0.6
WALL-B,2023,0.6
WALL-B,2024,0.5
WALL-B,2025,0.5
WIHL,2006,0.4375
WIHL,2007,0.6875
WIHL,2008,0.78125
WIHL,2009,0.8125
WIHL,2010,0.84375
WIHL,2011,0.875
WIHL,2012,0.9375
WIHL,2013,1.0
WIHL,2014,1.0625
WIHL,2015,1.1875
WIHL,2016,1.3125
WIHL,2017,1.4375
