Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,SMA_50,SMA_DIFF,RSI
2024-02-09,159.03072545394517,159.4190729408189,157.08895839056245,158.15692138671875,300502,0.0,0.0,160.13266983032227,163.40357849121094,-2.0017362478169956,42.91368493216389
2024-02-12,158.15692406903014,159.71034367188483,158.15692406903014,159.1278076171875,158544,0.0,0.0,159.99674606323242,163.38416107177736,-2.0732823710229704,45.78944277842224
2024-02-13,159.1278034249712,161.16666474819084,158.64236166368147,160.87539672851562,264602,0.0,0.0,159.99189147949218,163.39581146240235,-2.0832357650082205,50.61220258706682
2024-02-14,159.90451876221792,160.87540231853316,157.86567218266035,159.61325073242188,250025,0.0,0.0,159.96276473999023,163.3530923461914,-2.075459703582535,47.33679353097182
2024-02-15,160.58412847732413,163.98222080145317,160.58412847732413,163.01133728027344,421174,0.0,0.0,160.02587127685547,163.38027709960937,-2.0531277595451725,55.65717423916923
2024-02-16,164.176406471566,169.12790345384602,163.59387044329466,168.4482879638672,659545,0.0,0.0,160.3753890991211,163.48901611328125,-1.9044869729980711,65.14568566476265
2024-02-19,168.351200681797,169.1279104802583,166.31235412715668,168.73956298828125,248327,0.0,0.0,160.6375289916992,163.56862854003907,-1.7919692636062978,65.57073081079105
2024-02-20,168.15702991527908,168.93373972750243,166.40943654140344,167.5745086669922,240368,0.0,0.0,160.73947296142578,163.59387176513673,-1.7448079032012047,62.29821515614353
2024-02-21,168.64246566181575,169.51626972474122,167.57450267091605,168.83663940429688,203141,0.0,0.0,161.07442779541014,163.64629943847658,-1.5716039115405325,64.3726422460766
2024-02-22,169.90461447331055,170.58422996830242,167.28323195576652,167.86575317382812,292276,0.0,0.0,161.4821990966797,163.7084356689453,-1.3598789599135557,61.566378076290384
2024-02-23,167.8657562219989,168.83663975090462,167.57450301493276,167.7686767578125,158529,0.0,0.0,161.86569900512694,163.73950408935548,-1.1443818000120292,61.2787263257377
2024-02-26,167.2832489013672,167.96286446520335,166.02109724595246,167.2832489013672,238830,0.0,0.0,162.3705596923828,163.82688385009766,-0.8889408889980408,59.774764090372926
2024-02-27,167.67158813445292,168.15702991527908,166.70070457280062,167.5745086669922,332429,0.0,0.0,162.8899833679199,163.84241821289064,-0.5813115158817828,60.402725534268995
2024-02-28,167.3803340517082,167.3803340517082,165.82692911231587,167.08908081054688,357015,0.0,0.0,163.34629974365234,163.7744567871094,-0.26143090434035765,58.75638994506533
2024-02-29,167.28324493557707,168.7395703154901,163.98223185240286,165.82691955566406,1359990,0.0,0.0,163.66183776855468,163.70843719482423,-0.0284648898175573,54.59009052496103
2024-03-01,166.60362073476801,167.76867801528593,165.14729543049384,167.18614196777344,251830,0.0,0.0,164.0453369140625,163.6346499633789,0.2509779871045004,58.04061310357337
2024-03-04,167.18614895625606,168.3512062854741,166.89488092032462,167.4774169921875,163963,0.0,0.0,164.55505142211913,163.57251373291015,0.6006740782949155,58.76373410120369
