Instrument,earningsGrowth,revenueGrowth,profitMargins,grossMargins,returnOnEquity,returnOnAssets,priceToBook,forwardPE,dividendYield,longName,sector,longBusinessSummary
ESSITY-A,-0.727,0.004,0.08632,0.32624,0.15615,0.06664,2.143356,17.828613,3.13,Essity AB (publ),Consumer Defensive,"Essity AB (publ) develops, produces, and sells hygiene and health products and services in Europe, North and Latin America, Asia, and internationally. The company operates through three segments: Health & Medical, Consumer Goods, and Professional Hygiene. The Health & Medical segment offers incontinence products, wound care, compression therapy, orthopedics, skincare products, wet wipes, wash gloves, and digital solutions with sensor technology under the TENA, Leukoplast, JOBST, Actimove, Cutimed, Delta-Cast, AquaCast Liner, and Hydrofera brands to family carers, professional caregivers, and patients and consumers through pharmacies, medical device stores, hospitals, distributors, care institutions, and e-commerce. The Consumer Goods segment provides pads, panty liners, tampons, diapers, wet wipes, shampoos, lotions, baby oil, skin creams, intimate soaps, intimate wipes, leakproof apparel, menstrual cups, toilet papers, household towels, handkerchiefs, facial tissues, and napkins under the TENA, Knix, Modibodi, Libero, Lotus, Drypers, Libresse, Bodyform, Nana, Saba, Nosotras, TOM Organic, Tempo, Zewa, Cushelle, Plenty, Regio, and Familia brands through retail trade and e-commerce. The Professional Hygiene segment offers toilet papers, paper hand towels, napkins, hand soaps, hand lotions, hand sanitizers, dispensers, and cleaning and wiping products, as well as vision cleaning and data-driven cleaning solutions under the Tork brand to companies and office buildings, universities, healthcare facilities, airports, industries, restaurants, hotels, stadiums, and other public venues through direct to the end-customer, e-commerce, or distributors. Essity AB (publ) was founded in 1849 and is headquartered in Stockholm, Sweden."
ESSITY-B,-0.727,0.004,0.08632,0.32624,0.15615,0.06664,2.1442292,18.577913,3.15,Essity AB (publ),Consumer Defensive,"Essity AB (publ) develops, produces, and sells hygiene and health products and services in Europe, North and Latin America, Asia, and internationally. The company operates through three segments: Health & Medical, Consumer Goods, and Professional Hygiene. The Health & Medical segment offers incontinence products, wound care, compression therapy, orthopedics, skincare products, wet wipes, wash gloves, and digital solutions with sensor technology under the TENA, Leukoplast, JOBST, Actimove, Cutimed, Delta-Cast, AquaCast Liner, and Hydrofera brands to family carers, professional caregivers, and patients and consumers through pharmacies, medical device stores, hospitals, distributors, care institutions, and e-commerce. The Consumer Goods segment provides pads, panty liners, tampons, diapers, wet wipes, shampoos, lotions, baby oil, skin creams, intimate soaps, intimate wipes, leakproof apparel, menstrual cups, toilet papers, household towels, handkerchiefs, facial tissues, and napkins under the TENA, Knix, Modibodi, Libero, Lotus, Drypers, Libresse, Bodyform, Nana, Saba, Nosotras, TOM Organic, Tempo, Zewa, Cushelle, Plenty, Regio, and Familia brands through retail trade and e-commerce. The Professional Hygiene segment offers toilet papers, paper hand towels, napkins, hand soaps, hand lotions, hand sanitizers, dispensers, and cleaning and wiping products, as well as vision cleaning and data-driven cleaning solutions under the Tork brand to companies and office buildings, universities, healthcare facilities, airports, industries, restaurants, hotels, stadiums, and other public venues through direct to the end-customer, e-commerce, or distributors. Essity AB (publ) was founded in 1849 and is headquartered in Stockholm, Sweden."
IPCO,-0.5,-0.135,0.110690005,0.4364,0.08918,0.05454,20.402115,135.29915,,International Petroleum Corporation,Energy,"International Petroleum Corporation explores for, develops, and produces oil and gas. It holds a portfolio of oil and gas production assets and development projects in Canada, Malaysia, and France. The company was incorporated in 2017 and is based in Vancouver, Canada."
ATRLJ-B,0.116,-0.064,0.22589001,0.54671,0.03238,0.02062,0.73877585,3.190175,10.65,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
BALD-B,,0.092,0.50065,0.66497004,0.06962,0.02072,0.9046064,13.078394,,Fastighets AB Balder (publ),Real Estate,"Fastighets AB Balder (publ) develops, owns, leases, and manages residential and commercial properties in Sweden, Denmark, Finland, Norway, Germany, and the United Kingdom. Its property portfolio comprises hotels, apartments, offices, shops, restaurants or cafés, schools, industrial spaces, warehouses, and storage spaces, as well as garages and parking spaces. Fastighets AB Balder (publ) was incorporated in 1995 and is headquartered in Gothenburg, Sweden."
CAST,,-0.097,0.25370002,0.69564,0.03265,0.02658,0.8284842,12.475356,2.0,Castellum AB (publ),Real Estate,"Castellum is one of the Nordic region's largest commercial property companies, with a focus on office and logistics properties in Nordic growth cities. As of 31 March 2025, the property value, including the holdings in the Norwegian company Entra ASA, totalled approximately SEK 155 Bn. The company is listed on Nasdaq Stockholm Large Cap and is classified as green under the Green Equity Designation. Castellum is the only Nordic property company included in the Dow Jones Sustainability Indices (DJSI)."
CATE,2.003,0.306,0.59922004,0.82144,0.06455,0.02844,1.1980884,18.099335,1.86,Catena AB (publ),Real Estate,"Catena AB (publ) owns, develops, manages, and sells logistics properties in Sweden and Denmark. It provides complexity terminals for immediate transshipment; logistics warehouses for storage; distribution centers; warehouses for cold storage; fully automated warehouses; omni warehouses; and city logistics. The company was founded in 1967 and is headquartered in Helsingborg, Sweden."
CORE-A,,-0.047,-0.26869,0.64255995,-0.04565,0.022149999,0.31515628,9.269232,2.07,Corem Property Group AB (publ),Real Estate,"Corem Property Group AB (publ), a real estate company, owns, manages, develops, and leases office, warehouse, logistics, and retail properties in Sweden, Denmark, and the United States. The company owns 294 properties with a total lettable area of 2,304 thousand square kilometers. Corem Property Group AB (publ) was founded in 1993 and is headquartered in Stockholm, Sweden."
CORE-B,,-0.047,-0.26869,0.64255995,-0.04565,0.022149999,0.2856022,8.564706,2.31,Corem Property Group AB (publ),Real Estate,"Corem Property Group AB (publ), a real estate company, owns, manages, develops, and leases office, warehouse, logistics, and retail properties in Sweden, Denmark, and the United States. The company owns 294 properties with a total lettable area of 2,304 thousand square kilometers. Corem Property Group AB (publ) was founded in 1993 and is headquartered in Stockholm, Sweden."
CORE-D,,-0.047,-0.26869,0.64255995,-0.04565,0.022149999,15.005885,,8.39,Corem Property Group AB (publ),Real Estate,"Corem Property Group AB (publ), a real estate company, owns, manages, develops, and leases office, warehouse, logistics, and retail properties in Sweden, Denmark, and the United States. The company owns 294 properties with a total lettable area of 2,304 thousand square kilometers. Corem Property Group AB (publ) was founded in 1993 and is headquartered in Stockholm, Sweden."
CORE-PREF,,-0.047,-0.26869,0.64255995,-0.04565,0.022149999,15.496273,,8.1,Corem Property Group AB (publ),Real Estate,"Corem Property Group AB (publ), a real estate company, owns, manages, develops, and leases office, warehouse, logistics, and retail properties in Sweden, Denmark, and the United States. The company owns 294 properties with a total lettable area of 2,304 thousand square kilometers. Corem Property Group AB (publ) was founded in 1993 and is headquartered in Stockholm, Sweden."
FABG,,-0.156,0.09784,0.71115994,0.008719999,0.0176,0.6865784,18.37444,2.36,Fabege AB (publ),Real Estate,"Fabege AB (publ), a property company, primarily engages in the development, investment, and management of commercial premises in Sweden. Its property portfolio comprises office, retail, industrial/warehouse, residential, hotel, and garage properties. The company also engages in the acquisition and sale of properties. Further, it owns various properties. The company was formerly known as Wihlborgs Fastigheter AB and changed its name to Fabege AB (publ) in December 2005. Fabege AB (publ) was founded in 1924 and is headquartered in Solna, Sweden."
FPAR-A,-0.302,-0.013,0.2569,0.69958997,0.0392,0.026659999,0.6614928,15.727554,1.9,FastPartner AB (publ),Real Estate,"FastPartner AB (publ), a real estate company, owns, develops, and manages residential and commercial properties in Sweden. It offers its properties to technology service and industrial companies, including young entrepreneurs with startups, as well as a range of social services comprising care homes, schools, government and local administrations, and healthcare providers. The company was incorporated in 1984 and is headquartered in Stockholm, Sweden. FastPartner AB (publ) is a subsidiary of Compactor Fastigheter AB."
FPAR-D,-0.302,-0.013,0.2569,0.69958997,0.0392,0.026659999,1.0156779,,6.45,FastPartner AB (publ),Real Estate,"FastPartner AB (publ), a real estate company, owns, develops, and manages residential and commercial properties in Sweden. It offers its properties to technology service and industrial companies, including young entrepreneurs with startups, as well as a range of social services comprising care homes, schools, government and local administrations, and healthcare providers. The company was incorporated in 1984 and is headquartered in Stockholm, Sweden. FastPartner AB (publ) is a subsidiary of Compactor Fastigheter AB."
HEM,0.438,0.296,0.3483,0.86350995,0.41803002,0.19089001,23.40853,37.68657,0.61,Hemnet Group AB (publ),Communication Services,"Hemnet Group AB (publ) operates a residential property platform in Sweden. The company connects property buyers, sellers, and real estate agents in one platform. Hemnet Group AB (publ) was founded in 1998 and is headquartered in Stockholm, Sweden."
HUFV-A,,0.059,0.26066,0.49692002,0.03009,0.01977,0.8668691,22.481342,2.27,Hufvudstaden AB (publ),Real Estate,"Hufvudstaden AB (publ) engages in the ownership, development, and management of commercial properties in Stockholm and Gothenburg, Sweden. It operates through three segments: Property Management, NK Retail, and Other Operations. The company offers office and retail properties, residential properties, restaurants, department stores, parking facilities, and shopping centres. It also owns properties with rentable floor spaces. It operates its properties primarily under the NK Retail, Bibliotekstan, Cecil Coworking, Fredstan, Femman, Kvarteret Johanna, Nordiska Kompaniet, REDO, Parkaden, and Nordstan brands. Hufvudstaden AB (publ) was founded in 1915 and is headquartered in Stockholm, Sweden."
NP3,0.056,0.12,0.46075,0.76012003,0.105629995,0.03902,1.6509374,19.665428,1.93,NP3 Fastigheter AB (publ),Real Estate,"NP3 Fastigheter AB (publ), a real estate company, engages in commercial investment property business in Sweden. The company is involved in property management and letting; acquiring and divesting properties; and development of property portfolio. Its real estate portfolio consists of commercial, industrial, retail, offices, and logistics, as well as playgrounds, sports facilities and community properties, such as schools. The company was incorporated in 2007 and is headquartered in Sundsvall, Sweden."
NP3-PREF,0.056,0.12,0.46075,0.76012003,0.105629995,0.03902,0.19255735,,6.51,NP3 Fastigheter AB (publ),Real Estate,"NP3 Fastigheter AB (publ), a real estate company, engages in commercial investment property business in Sweden. The company is involved in property management and letting; acquiring and divesting properties; and development of property portfolio. Its real estate portfolio consists of commercial, industrial, retail, offices, and logistics, as well as playgrounds, sports facilities and community properties, such as schools. The company was incorporated in 2007 and is headquartered in Sundsvall, Sweden."
NYF,,-0.009,0.05791,0.69872004,0.01191,0.03457,0.8622567,11.400523,2.97,Nyfosa AB (publ),Real Estate,"Nyfosa AB (publ), a transaction-intensive real estate company, invests, manages, develops, and sells properties in Sweden, Norway, and Finland. The company's property portfolio includes offices, warehouses, logistics, industry and retail properties. Nyfosa AB (publ) was founded in 2009 and is based in Nacka, Sweden."
PNDX-B,-0.761,0.011,0.18943001,0.54411,0.04326,0.029930001,1.0297688,15.740402,2.55,Pandox AB (publ),Real Estate,"Pandox AB (publ), a hotel property company, owns, develops, and leases hotel properties. The company operates in two segments, Leases and Own Operations. The Leases segment leases hotels to hotel operators. The Own Operations segment owns hotel properties; and operates hotels. It has operations in Sweden, Denmark, Norway, Finland, Germany, Belgium, the United Kingdom, Ireland, and internationally. The company was incorporated in 1932 and is headquartered in Stockholm, Sweden."
SAGA-A,-0.187,0.103,0.98769,0.82721,0.12731,0.03224,2.3889859,,1.62,AB Sagax (publ),Real Estate,"AB Sagax (publ), a property company, owns and manages a property portfolio in Sweden, Finland, France, Benelux, Spain, Germany, and other European countries. The company invests in commercial properties primarily in the warehouse and light industrial segments. It also engages in the financial administration and asset management activities. The company was incorporated in 1995 and is headquartered in Stockholm, Sweden."
SAGA-B,-0.187,0.103,0.98769,0.82721,0.12731,0.03224,2.439613,16.874752,1.62,AB Sagax (publ),Real Estate,"AB Sagax (publ), a property company, owns and manages a property portfolio in Sweden, Finland, France, Benelux, Spain, Germany, and other European countries. The company invests in commercial properties primarily in the warehouse and light industrial segments. It also engages in the financial administration and asset management activities. The company was incorporated in 1995 and is headquartered in Stockholm, Sweden."
SAGA-D,-0.187,0.103,0.98769,0.82721,0.12731,0.03224,0.37476504,,5.97,AB Sagax (publ),Real Estate,"AB Sagax (publ), a property company, owns and manages a property portfolio in Sweden, Finland, France, Benelux, Spain, Germany, and other European countries. The company invests in commercial properties primarily in the warehouse and light industrial segments. It also engages in the financial administration and asset management activities. The company was incorporated in 1995 and is headquartered in Stockholm, Sweden."
WALL-B,0.73,0.1,0.34869,0.63514,0.0327,0.01476,0.9420001,23.528795,1.04,Wallenstam AB (publ),Real Estate,"Wallenstam AB (publ) operates as a property company in Sweden. It acquires, develops, builds, manages, rents, and sells residential and commercial properties. The company's portfolio includes commercial properties and apartments in Stockholm, Gothenburg, and Uppsala. It also owns and operates 53 wind turbines with a total installed output of 112 megawatts. The company was founded in 1944 and is headquartered in Gothenburg, Sweden."
WIHL,0.239,0.011,0.42605,0.72136,0.07729,0.03073,1.3091103,15.755628,3.13,Wihlborgs Fastigheter AB (publ),Real Estate,"Wihlborgs Fastigheter AB (publ), a property company, owns, develops, rents, and manages commercial properties in the Öresund region, Sweden. The company's property portfolio consists of office/retail, logistics/production, and projects and land in Malmö, Helsingborg, Lund, and Copenhagen. Wihlborgs Fastigheter AB (publ) was founded in 1924 and is headquartered in Malmö, Sweden."
BURE,,,0.62366,1.0,0.0051200003,0.0023999999,0.9766072,,0.97,Bure Equity AB (publ),Financial Services,"Bure Equity AB (publ) is a private equity and venture capital firm specializing in secondary direct, later stage, middle market, mature, buyouts, mid venture, late venture, PIPES, bridge, industry consolidation, recapitalizations, growth capital, special situation and turnarounds. It primarily invests in education service companies, communication services, telecommunication services, medtech, consumer staples, financials, industrials, healthcare and information technology sectors. The firm prefers to invest in the Nordics and European developed markets. It invests between $5 million to $100 million. The firm seeks to be a principal shareholder with a controlling influence in the portfolio company. The firm takes majority stakes. Bure Equity AB (publ) was founded on November 23, 1992 and is based in Stockholm, Sweden."
EQT,,,0.29264998,0.68191004,0.10009,0.063590005,53.858547,22.912952,1.36,EQT AB (publ),Financial Services,"EQT AB (publ) is a global private equity & venture capital firm specializing in private capital and real asset segments. The firm seeks to invest in seed, startup, turnaround, middle market, mature, early venture, emerging growth, mid venture, late venture, distressed/vulture, loan, secondary (direct) investments. The firm seeks to invest through growth, buyout and recapitalization in companies. It also invests in greenfund & fintech investments. The firm prefers to invest in financial services, engineering services, healthcare, IT services & software, business services, consumer, advanced manufacturing sectors, education, consumer goods, energy, oil and gas, commercial printing, diversified support services, environmental and facilities services, office services and supplies, automobile manufacturers, motorcycle manufacturers, consumer electronics, home furnishings, homebuilding, household appliances, housewares and specialties, leisure products, textiles, apparel and luxury goods, medical equipment, medical instruments, communications equipment, communication services, and security and alarm services, industrials and TMT sectors. It owns portfolio companies and assets in Europe, Asia-Pacific and the North America with focus in Turkey, Australia, Hong Kong, Japan, New Zealand, Georgia, Singapore, China, Macau, Taiwan, India, Austria, Belgium, Wallonia, Luxembourg, Guernsey, Jersey, Denmark, Finland, Germany, Iceland, Ireland, Liechtenstein, Luxembourg, Netherlands, Norway, Spain, Sweden, Switzerland, United Kingdom, Belarus, Bulgaria, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Poland, Romania, Russia, Slovakia, Slovenia, South-East Asia and North America region. The firm typically invests between 2 million ($2.06 million) and 1.6 billion ($1,734 million) in companies with enterprise value at least 27.79 million ($30 million). The firm prefers to take minority or majority stakes in its portfolio companies. EQT AB (publ) was founded in 1994 and is based in Stockholm, Sweden with additional offices across Europe, North America, and Asia."
INDU-A,-0.53,-0.528,0.93151003,1.0,0.023340002,0.0144299995,0.94318414,13.323485,2.4,AB Industrivärden (publ),Financial Services,"AB Industrivärden is a publicly owned investment manager. The firm invests in the public equity markets of Nordic region. It employs fundamental analysis, with a focus on factors like long term return potential, proven business model, balance between risk and return, and attractive valuation to create its portfolio. AB Industrivärden was founded in 1944 and is based in Stockholm, Sweden."
INDU-C,-0.53,-0.528,0.93151003,1.0,0.023340002,0.0144299995,0.9429228,,2.41,AB Industrivärden (publ),Financial Services,"AB Industrivärden is a publicly owned investment manager. The firm invests in the public equity markets of Nordic region. It employs fundamental analysis, with a focus on factors like long term return potential, proven business model, balance between risk and return, and attractive valuation to create its portfolio. AB Industrivärden was founded in 1944 and is based in Stockholm, Sweden."
INVE-A,,-0.878,0.41412997,0.68327004,0.053990003,0.03304,1.1003326,,1.86,Investor AB (publ),Financial Services,"Investor AB (publ) is a private equity firm specializing in mature, middle market, buyouts and growth capital investments. For core investments, the firm invests in health care, financial services, IT and fintech sectors and considers investments in listed companies in leading minority positions. The firm seeks to invest globally. For its operating investments, the firm seeks to focus on medium-sized to large companies headquartered in Northern Europe. It prefers to invests in North Africa, Sub-Saharan Africa, Asia-Pacific, Channel Island, Greenland, The Faroe Islands, Finland, Iceland, Ireland, Jan Mayen, Svalbard, Sweden, Isle of Man, Estonia, Latvia, Lithuania, Great Lakes, Mountain, Latin America and Caribbean region. It seeks to invest between SEK 20 million ($1.83 million) and SEK 200 million ($18.28 million). The firm considers majority or minority investments in both listed and unlisted companies. It acquires controlling interest or minority position with significant influence in its portfolio companies within operating investments. For financial investments, it acquires minority ownership in financial holdings for shorter horizon. The firm seeks to exit its private equity investments between three years and seven years. The firm seeks to take board membership in its portfolio companies. Investor AB (publ) was founded in 1916 and is based in Stockholm, Sweden."
INVE-B,,-0.878,0.41412997,0.68327004,0.053990003,0.03304,1.0650827,18.546032,1.86,Investor AB (publ),Financial Services,"Investor AB (publ) is a private equity firm specializing in mature, middle market, buyouts and growth capital investments. For core investments, the firm invests in health care, financial services, IT and fintech sectors and considers investments in listed companies in leading minority positions. The firm seeks to invest globally. For its operating investments, the firm seeks to focus on medium-sized to large companies headquartered in Northern Europe. It prefers to invests in North Africa, Sub-Saharan Africa, Asia-Pacific, Channel Island, Greenland, The Faroe Islands, Finland, Iceland, Ireland, Jan Mayen, Svalbard, Sweden, Isle of Man, Estonia, Latvia, Lithuania, Great Lakes, Mountain, Latin America and Caribbean region. It seeks to invest between SEK 20 million ($1.83 million) and SEK 200 million ($18.28 million). The firm considers majority or minority investments in both listed and unlisted companies. It acquires controlling interest or minority position with significant influence in its portfolio companies within operating investments. For financial investments, it acquires minority ownership in financial holdings for shorter horizon. The firm seeks to exit its private equity investments between three years and seven years. The firm seeks to take board membership in its portfolio companies. Investor AB (publ) was founded in 1916 and is based in Stockholm, Sweden."
