Instrument,earningsGrowth_rank,revenueGrowth_rank,profitMargins_rank,grossMargins_rank,returnOnEquity_rank,returnOnAssets_rank,debtToEquity_rank,priceToBook_rank,forwardPE_rank,dividendYield_rank,Close_10_%_D_rank,10_40_%_D_rank,40_120_%_D_rank,RSI_3_months_rank
MNTC,,69.5,24.4,94.5,28.8,31.6,69.4,31.1,24.5,,41.1,7.1,9.8,10.3
ONEF,,72.8,11.6,11.3,13.0,15.8,83.1,21.3,93.7,,27.3,11.3,20.3,18.2
PRCO-B,2.4,26.9,46.6,22.4,48.3,47.3,77.4,63.7,,34.6,22.7,59.1,48.2,36.2
TERRNT-BTU-B,,,,,,,,,,,,,,
TERRNT-B,,87.7,36.0,0.2,4.9,7.3,30.0,15.1,,,96.4,86.0,14.2,46.6
AAC,,42.1,30.1,74.7,41.2,35.4,81.9,67.3,16.5,,81.4,94.9,97.1,96.0
GOMX,,88.0,13.3,27.4,6.1,21.1,2.4,0.4,96.6,,97.3,97.2,99.0,99.5
AGTIRA-B,,93.8,6.6,22.0,16.8,16.8,67.1,39.7,,,74.5,91.3,97.8,76.1
ARCTIC,,63.0,36.0,28.7,,3.7,,97.6,,,7.9,8.3,62.9,57.3
DUG,,97.8,36.0,16.3,19.0,17.8,,27.6,,,33.5,49.6,99.7,89.5
HAYPP,86.7,50.2,42.2,9.4,69.9,75.7,69.6,20.1,18.2,,80.4,89.0,93.7,95.8
HERNO-B,,,36.0,5.2,,,,,,,84.8,84.2,69.2,64.3
HIGHCO-B,,,36.0,5.2,,,,,,,23.1,83.9,84.3,76.4
INT,87.6,94.2,90.5,88.2,97.8,99.3,76.6,18.7,67.4,,83.2,53.0,97.6,93.8
NNH,,58.7,34.8,70.6,41.8,42.9,53.2,64.1,,,69.3,7.4,94.8,71.8
NICO,,84.9,36.0,26.4,18.5,17.6,78.6,40.0,,,2.3,31.6,10.5,28.8
SNX,79.1,65.4,45.5,42.9,84.7,84.2,39.9,22.8,,5.8,74.9,19.6,91.9,89.2
SIMRIS-B,,3.8,36.0,38.1,1.2,20.8,,99.7,,,87.0,99.5,89.8,93.2
SKMO,14.9,24.5,59.7,15.5,65.8,73.9,,23.7,,31.2,92.2,68.1,91.3,83.6
SECARE,33.3,54.6,51.1,64.0,46.8,44.5,65.1,72.4,18.4,3.8,89.1,52.3,45.0,56.9
AEC,,,36.0,5.2,8.9,34.7,,10.4,,,13.8,16.3,31.5,23.9
CIRCLE-B,,,36.0,5.2,,,,,,,1.0,1.0,99.5,37.9
META,,97.4,4.2,3.7,9.6,6.6,85.7,34.7,89.9,,27.8,97.9,98.2,73.7
MINEST,,27.6,5.7,53.8,36.5,29.6,,55.1,48.4,,99.2,98.7,91.2,95.1
STW,,3.8,36.0,99.4,31.0,23.9,96.0,38.7,,,96.0,99.6,99.9,99.6
SNM,,86.3,97.2,83.4,98.0,74.6,30.4,5.6,10.1,,96.8,44.6,53.4,91.8
SOLT,,25.0,21.2,34.8,22.2,28.9,44.4,91.1,76.5,,61.6,7.6,37.0,24.6
ALM,,64.9,16.3,7.2,20.7,43.9,39.1,87.3,91.1,,19.9,33.4,8.1,2.1
ALM-PREF,,64.9,16.3,7.2,20.7,43.9,39.1,87.1,,97.1,43.0,76.3,60.1,92.6
ATIN,,2.4,11.4,45.7,33.3,29.1,,82.8,,,11.8,12.8,35.0,22.5
BOHO,,10.8,16.5,14.0,26.9,43.0,16.1,39.9,,,78.6,38.5,22.8,39.7
BOHO-PREF,,10.8,16.5,14.0,26.9,43.0,16.1,32.9,,,25.6,87.7,21.8,44.8
BONAS,,47.4,51.7,75.4,45.5,52.7,15.3,80.6,,,35.5,10.8,26.2,9.8
DOXA,,7.9,36.0,94.3,15.5,23.6,34.7,94.4,,,45.1,18.1,78.7,8.9
HEIM-PREF,,40.4,88.6,71.3,68.0,49.8,14.5,96.0,,98.3,73.4,80.1,71.5,82.0
KAPIAB,,51.9,97.7,96.5,78.8,72.3,29.2,62.8,,82.9,46.8,67.0,75.3,94.1
LINKAB,4.8,27.2,67.4,69.9,50.7,54.5,14.3,52.9,,78.3,33.9,49.1,49.2,52.2
SOLNA,,52.4,91.7,83.2,57.7,59.1,25.4,79.3,,88.8,65.6,51.6,70.2,80.4
TINGS-A,59.8,73.8,89.8,86.7,58.4,63.0,18.3,86.7,,,36.6,39.5,41.1,45.2
TINGS-B,59.8,73.8,89.8,86.7,58.4,63.0,18.3,88.6,,,47.9,42.5,53.0,53.7
TINGS-PREF,59.8,73.8,89.8,86.7,58.4,63.0,18.3,18.2,,87.1,41.0,85.9,74.7,98.8
TITA-B,98.8,57.2,99.8,99.8,98.8,50.3,8.1,89.9,77.4,,13.2,89.9,83.7,74.3
ALPCOT-B,,89.9,41.9,65.2,49.8,40.5,97.0,46.2,,,61.9,94.2,87.5,87.7
BMC,32.9,75.2,83.0,56.6,,,,3.6,,,76.4,93.7,,95.3
CASE,,82.7,79.7,54.5,67.3,81.9,79.4,49.8,,,38.2,77.7,57.9,69.7
FIRST-B,,,36.0,5.2,35.4,30.7,,91.7,,,24.9,70.3,60.0,41.8
FLAT-B,,,98.5,99.4,89.2,96.2,,51.3,,,1.9,82.8,82.0,61.1
MTI,,9.1,36.0,88.5,7.1,19.4,,3.7,,,81.1,20.9,88.1,51.6
NAIG-B,,,36.0,5.2,32.7,27.4,,85.2,,92.9,42.1,31.5,53.7,37.2
NFGAB,,50.0,24.2,58.0,10.3,28.4,3.2,59.0,,,11.6,47.8,47.0,26.1
SFL,,40.4,35.2,6.1,39.7,32.1,,30.8,,,12.0,82.1,55.1,63.9
YIELD,,20.9,21.6,54.9,29.1,,4.8,63.0,89.4,,53.1,59.2,58.8,31.2
VH,,3.1,23.7,99.4,34.5,27.7,,23.9,,54.6,66.0,81.6,34.9,54.3
WRV,,,36.0,5.2,11.1,5.6,,90.8,,,4.3,82.3,22.0,12.2
2CUREX,,4.6,36.0,5.2,4.5,1.2,,5.3,,,25.3,95.9,100.0,91.5
ACOU,,22.4,4.5,99.3,6.6,6.3,,12.3,87.1,,10.9,27.8,3.1,3.9
AINO,,72.6,15.3,18.5,,8.1,,99.0,,,1.4,91.2,69.9,49.3
ALZ,,92.5,7.4,99.4,28.1,22.1,95.8,64.0,85.6,,11.4,13.2,6.4,8.5
ANNX,,,36.0,5.2,4.0,1.5,,27.1,,,12.9,6.0,19.3,20.7
ARCOMA,19.3,13.2,63.1,42.7,84.8,88.5,,48.6,65.1,,34.8,52.5,33.3,26.7
BIOSGN,,,36.0,5.2,16.3,10.3,,39.0,94.3,,4.0,80.7,89.2,53.1
BRAIN,,70.4,8.1,26.1,22.1,17.9,,36.9,0.2,,8.9,46.2,50.4,30.9
CRNO-B,,13.7,5.5,99.4,14.8,19.1,20.0,7.0,97.3,,15.8,70.5,98.0,92.0
CMH,,31.2,36.0,81.1,7.4,4.8,,73.2,,,86.0,7.5,12.1,11.7
CMH-PREF,,31.2,36.0,81.1,7.4,4.8,,93.2,,,0.8,10.5,,21.7
CLS-B,,81.2,1.3,76.7,10.8,8.0,98.0,71.1,87.9,,56.5,37.4,17.8,12.6
CLBIO,,5.3,3.4,82.3,24.4,22.9,,32.1,52.6,,87.5,61.7,65.1,72.9
DMYD-B,,,36.0,5.2,12.6,9.3,,27.0,33.8,,44.8,55.7,9.7,24.8
DICOT,,,36.0,5.2,7.6,3.5,,10.5,,,8.1,95.5,97.9,90.9
ELIC,,1.2,36.0,99.4,15.2,12.5,,12.7,8.2,,94.3,58.4,98.8,93.3
ELN,,35.1,26.9,62.1,25.4,24.8,,54.5,,,12.1,35.9,10.4,10.1
ERMA,,,36.0,3.9,1.0,1.8,,6.8,,,92.5,14.0,56.3,42.6
ENZY,,77.2,6.8,73.2,19.2,16.4,94.2,28.1,88.8,,2.5,15.5,79.7,42.0
EXPRS2,,90.9,36.0,46.8,12.8,6.0,88.9,62.1,83.1,,80.9,90.2,25.9,36.1
FLUI,,98.1,5.9,83.0,14.5,10.8,,81.8,,,3.0,6.6,7.0,10.7
FLUO,,79.8,36.0,99.4,1.5,2.5,26.4,2.1,88.6,,58.0,37.2,34.0,46.7
GABA,,,36.0,5.2,,3.3,,4.6,,,19.8,53.9,1.3,8.1
GENO,6.8,16.8,84.3,93.0,73.2,73.8,57.3,15.0,9.1,,40.8,78.9,73.5,64.1
GUARD,,,36.0,5.2,3.2,1.0,,30.2,84.8,,12.5,75.5,18.1,29.8
ICO,,14.9,2.7,85.2,22.4,17.4,83.7,92.4,84.4,,82.4,97.7,2.5,5.3
IDLDX,,69.2,9.3,18.1,22.6,16.6,,66.2,,,70.0,,,11.8
INIT,,,36.0,5.2,13.6,7.0,,6.4,88.2,,35.4,6.9,6.7,6.2
INTEG-B,,40.4,14.6,84.7,27.8,19.8,90.7,43.6,19.0,,14.6,91.5,79.4,38.0
IVACC,,91.1,36.0,4.4,25.1,18.9,99.6,73.6,83.3,,20.8,7.8,78.0,7.1
IZAFE-B,,4.8,36.0,4.1,7.2,7.8,47.0,19.1,,,9.8,56.2,64.2,55.5
KLAR,,99.8,36.0,99.4,2.4,16.1,,3.0,0.2,,15.9,1.2,4.6,15.3
KONT,,22.1,37.1,99.4,44.9,38.7,84.1,59.7,27.1,,59.3,13.9,21.9,30.0
LIDDS,,,36.0,5.2,7.9,6.5,,37.6,81.2,,98.7,95.1,1.7,33.1
LPGO,,,1.1,0.7,8.4,4.2,,88.1,,,93.0,68.3,6.2,24.5
LIPUM,,,36.0,5.2,,0.2,1.8,0.6,,,25.8,26.2,45.9,52.8
LARK,,2.9,36.0,5.2,17.7,14.0,,83.6,,92.9,,,,1.0
MAGLE,,92.8,47.5,95.0,48.7,45.5,40.3,70.5,56.9,,24.7,48.8,17.5,23.2
MAGNA,,,36.0,5.2,,8.3,,96.7,,,0.3,0.1,1.0,4.0
MEDHLP,,49.3,56.1,55.1,80.6,83.4,69.2,26.5,48.2,,95.6,35.0,84.9,85.0
MODTX,,,36.0,5.2,2.9,2.2,,99.4,83.5,,5.0,14.5,62.5,31.7
NANEXA,,8.7,8.7,68.0,22.7,18.8,65.5,30.7,63.2,,3.4,91.1,94.5,73.0
NANECH,,,0.9,84.3,,,,70.1,,,94.1,3.6,6.6,22.1
NEOLA,,10.3,6.2,95.6,31.1,25.6,,45.3,,,81.7,22.7,35.3,49.2
NEWBRY,,96.2,14.2,53.4,23.2,23.1,,58.4,,,16.4,48.6,13.3,19.4
NXTCL,,80.5,36.0,2.6,12.0,8.8,,58.1,,,45.9,21.4,2.0,11.2
ONCOZ,,,1.7,99.4,17.5,13.0,,13.5,95.8,,96.6,92.0,47.5,74.5
ORTI-A,,17.3,14.0,33.5,0.7,17.1,,98.7,,,83.6,30.7,55.6,48.4
ORTI-B,,17.3,14.0,33.5,0.7,17.1,,98.4,,,54.1,28.9,14.7,20.2
ORT-B,,96.9,74.2,56.7,59.1,61.5,,38.5,18.8,,92.4,81.5,92.0,85.9
OSSD,,87.5,13.1,97.2,25.3,22.4,95.6,16.6,95.1,,92.8,25.6,79.0,81.4
PAX,,63.7,67.0,71.7,71.9,89.0,88.5,19.4,28.8,,64.9,63.0,79.1,82.2
PERP-B,,93.5,9.5,43.4,17.2,15.3,51.8,38.2,,,5.9,17.6,11.4,27.1
PILA,,1.9,36.0,99.4,3.7,3.0,,8.4,,,4.4,74.5,15.5,30.3
PRO,,59.4,15.9,97.4,27.6,26.6,,19.9,,,95.7,11.7,15.9,33.9
PLUN,,53.6,4.0,71.5,18.7,13.8,92.9,96.1,,,99.4,0.3,1.6,1.9
PROGEN,,2.2,36.0,5.2,5.7,4.5,98.4,95.0,90.7,,0.9,49.5,0.3,9.0
QLIFE,,,36.0,3.5,,20.4,,99.9,93.4,,98.6,96.5,52.4,20.5
QUIA,,,36.0,79.1,2.2,11.6,87.7,89.6,,,3.2,0.5,25.2,8.0
S2M,,81.5,90.7,97.0,98.1,95.8,,87.4,,,23.3,2.1,96.5,26.8
SDOS,,43.8,37.9,81.3,45.8,40.0,,53.9,69.6,,51.7,60.1,27.2,34.5
CMOTEC-B,,90.6,3.0,77.8,2.5,5.3,,10.8,,,15.6,7.3,96.3,52.5
HEART,,97.6,36.0,100.0,16.0,12.3,78.0,88.7,,,26.9,48.4,36.5,30.7
SCOL,,,36.0,5.2,3.9,1.3,95.0,95.9,80.8,,0.1,1.4,2.6,4.5
SCIB,,82.9,1.5,78.2,3.0,2.3,91.3,35.0,85.4,,64.6,25.0,46.5,41.2
SENZA,,31.5,13.8,72.5,24.9,26.4,92.3,47.9,97.5,,93.5,45.6,23.9,45.6
SPAGO,,50.5,36.0,1.7,8.1,4.0,,25.8,86.3,,84.2,98.4,66.9,77.9
SPEC-BTU,,,,,,,,,,,,,,
STABL,,,36.0,99.4,8.2,3.8,75.4,34.8,,,29.2,38.0,37.5,35.7
STIL,61.8,27.4,72.9,59.0,66.3,85.4,,38.4,36.6,,43.4,33.9,27.0,41.6
SUS,73.5,77.9,80.1,75.0,51.5,53.0,99.4,53.3,15.6,,79.2,60.2,47.2,67.4
TOL,,56.5,12.1,4.3,36.0,29.4,,80.9,,,68.5,65.2,30.8,50.3
XINT,,6.2,36.0,99.4,,0.7,,98.8,,,2.7,64.8,70.5,51.9
XPC,,91.8,36.0,98.5,23.7,14.8,,37.5,,,97.9,4.1,99.2,79.5
ABSO,6.0,21.2,66.9,47.0,75.1,83.1,45.2,39.1,46.1,18.3,77.6,36.0,17.3,19.8
ACUVI,27.7,61.5,82.8,67.8,67.0,64.8,70.2,59.4,89.6,,43.2,94.7,62.2,87.2
AXOLOT,,95.0,36.0,87.4,21.5,23.8,,52.6,,,32.9,92.1,82.5,75.4
BAWAT,,5.5,0.8,3.0,,7.1,,97.8,,,6.2,4.0,19.6,22.7
BOMILL,,14.7,6.1,68.4,8.6,7.5,,22.5,,,81.0,17.0,5.8,14.1
CALVIK,11.2,88.7,44.7,8.5,81.6,74.9,42.3,48.3,,,,,,
CARE,16.9,36.5,60.8,46.6,64.5,74.8,56.5,65.8,47.8,,20.7,86.8,39.4,61.5
CI,,4.3,0.4,6.7,20.0,15.9,73.6,95.6,82.5,,99.7,0.6,2.8,8.7
DLAB,,32.0,20.1,17.6,11.4,16.9,,16.0,,,25.1,58.5,55.5,57.8
ESGR-B,,78.6,27.8,27.2,,,76.2,82.7,75.1,,91.3,28.4,17.6,29.0
FERRO,,8.9,4.4,3.1,6.9,8.6,59.5,90.4,4.2,,98.1,2.8,2.2,3.7
FIRE,49.8,46.4,73.7,43.1,94.8,96.8,,20.4,,53.3,63.2,38.6,66.1,60.2
FLEXQ,,16.1,16.9,58.2,16.5,20.9,25.8,46.7,77.0,,97.8,16.6,9.2,30.6
FREEM,,11.5,1.9,93.2,20.5,14.6,,55.3,86.7,,85.8,92.9,97.5,68.4
GPX,,8.2,18.0,90.4,22.9,24.3,36.5,31.3,6.3,,79.1,37.8,43.3,41.5
GOTL-A,,85.8,52.8,32.3,48.5,45.3,,63.4,,7.1,10.5,89.8,81.5,78.8
GOTL-B,,85.8,52.8,32.3,48.5,45.3,,62.4,,7.9,49.6,88.5,82.4,91.0
GGEO,,80.3,47.7,73.4,54.9,56.8,89.9,78.4,,,31.7,34.7,70.7,53.3
HEGR,95.2,20.9,35.4,6.5,43.6,41.2,54.4,95.4,,88.3,88.4,0.8,2.9,0.6
HEGR-BTU,,,,,,,,,,,,,,
HELIO,,3.4,8.0,15.0,4.4,9.6,,36.3,82.7,,73.6,60.8,18.8,31.8
HILB-B,,,36.0,5.2,,,,,,,99.1,98.3,86.2,98.2
IDUN-B,90.8,46.6,42.6,66.2,65.3,76.4,15.7,18.5,21.6,1.2,7.1,31.3,75.7,62.4
LXB,,98.3,5.3,81.9,17.0,12.6,95.4,43.1,,,59.7,23.2,34.6,37.4
LYGRD,,39.7,24.8,38.3,9.4,32.6,16.5,20.9,,,78.7,71.0,89.4,82.3
MANTEX,,5.0,36.0,99.6,8.8,6.1,,81.2,,,71.6,35.8,21.4,4.9
NEPA,,19.2,25.4,15.7,26.1,25.9,,43.0,66.0,88.8,72.4,64.6,22.6,43.1
NJOB,,,99.6,33.3,100.0,100.0,,32.7,,99.6,99.5,2.5,95.4,70.6
LEVEL,,71.6,28.8,52.1,34.7,33.4,48.2,90.1,72.3,,88.1,5.2,12.2,13.6
NOTEK,,95.7,72.7,47.7,82.0,89.5,55.4,41.3,,,95.2,56.1,92.1,92.7
OGUN-B,10.0,26.4,50.4,12.9,87.7,90.0,67.9,28.0,66.6,90.8,72.6,26.9,40.0,31.6
OPTI,,83.4,2.5,65.4,29.6,23.3,88.1,83.0,92.8,,6.3,47.3,31.9,28.1
OXE,,75.7,11.9,31.6,9.9,19.9,60.9,68.3,85.8,,8.3,10.9,38.8,25.3
PCOM-B,,20.7,33.7,46.0,35.2,69.3,27.4,77.5,,,9.6,34.6,23.0,23.6
RLOS-B,,4.1,2.3,66.5,12.5,10.0,86.7,43.9,,,23.5,81.0,26.4,51.1
RO,,14.2,15.0,42.0,30.3,26.9,,32.3,94.5,,99.0,98.6,78.2,91.7
SAXG,,9.4,28.0,32.0,20.9,35.2,72.8,67.1,,,7.2,8.8,56.7,5.6
SES,,1.7,34.1,57.3,43.8,36.7,94.4,52.0,92.2,,26.6,51.2,3.5,2.8
SERT,,79.6,19.1,73.8,29.5,26.2,,44.4,,,17.7,11.0,9.1,13.5
SIBEK,9.6,31.2,78.2,28.3,97.1,99.0,,16.1,,56.2,94.7,48.2,27.6,62.0
SILEON,,5.8,36.0,0.4,1.9,12.0,26.2,90.2,90.3,,4.7,3.8,61.4,12.1
SEYE,,48.3,9.7,94.6,30.8,24.6,81.5,55.9,96.4,,54.7,29.3,88.2,58.4
SUMMAS,,,36.0,5.2,,,,,,,2.8,,,0.1
TEQ,82.7,51.9,63.8,50.1,79.0,68.3,38.3,34.4,,,78.2,43.4,24.4,28.4
TERNOR,,,36.0,5.2,,,,,,,,,,
TRAIN-B,77.1,52.2,73.9,27.7,49.0,46.3,63.9,70.7,20.9,17.1,22.6,48.7,39.6,27.9
VSSAB-B,,27.2,30.5,57.7,44.8,49.3,58.3,79.6,,,17.4,52.6,83.1,69.8
VIMAB,,17.5,15.7,19.4,2.0,16.3,0.4,4.1,,,27.0,14.2,14.4,29.5
W5,,26.0,27.1,66.7,37.4,30.6,58.7,34.5,11.0,,90.1,24.9,70.9,64.8
WPAY,,57.0,28.4,93.5,15.8,35.7,13.9,11.9,,,91.5,73.3,65.0,77.7
AXIC-A,,96.4,3.6,92.1,24.2,19.6,,39.6,,,53.5,95.6,98.6,91.1
CINIS,,100.0,4.9,5.0,13.8,22.8,3.6,92.3,55.4,,4.9,4.8,0.7,1.3
CLEM,90.4,60.6,48.3,37.3,62.5,68.8,47.6,66.7,5.1,,7.0,24.2,93.6,66.6
ITECH,81.5,83.9,85.2,61.6,92.9,98.2,,16.4,19.7,11.7,57.4,55.8,92.4,94.0
IMPC,,94.5,17.6,62.7,30.0,27.1,,50.8,96.0,,91.1,72.4,13.1,36.7
LCLEAN,,28.4,8.3,51.2,,8.5,,97.2,81.8,,26.0,2.2,0.5,0.8
ORGC,,27.6,19.5,22.2,19.7,28.7,5.6,15.4,98.9,,32.6,14.1,18.0,18.9
PCAT,,12.5,18.6,43.3,25.9,30.2,72.6,21.5,,,33.9,70.9,27.3,37.6
POLYG,,67.8,26.3,71.9,39.9,55.3,95.2,54.8,12.1,31.2,93.2,62.8,69.4,78.7
AERO,,95.2,36.0,95.2,14.1,12.8,82.7,93.6,97.0,,24.4,5.6,1.8,1.8
TRIBO-B,,68.0,25.8,20.7,21.7,28.6,38.1,49.9,,,12.7,16.2,30.6,29.3
CIRCHE,,94.0,49.2,31.1,50.5,54.8,77.6,56.3,,,44.6,9.6,7.5,14.5
DE,45.4,0.7,100.0,97.8,99.7,42.4,,78.5,,34.2,14.3,79.7,68.9,79.3
DE-IL,45.4,0.7,100.0,97.8,99.7,42.4,,73.5,,,,,,
GIGA,,62.0,18.2,79.9,36.2,48.8,4.4,93.9,76.1,,2.6,17.9,24.0,15.7
MASHUP,,74.3,21.4,27.5,0.2,18.3,,98.1,,,11.0,11.4,12.6,15.9
ARCT,,,36.0,5.2,,,,48.4,99.2,,14.5,9.2,90.4,58.3
BIOEX,,12.3,36.0,2.8,10.4,5.5,,19.0,,,92.1,87.0,77.0,72.3
BOTX,,,84.8,82.1,70.9,27.6,79.0,35.3,,,68.2,14.6,34.1,35.2
DMXSE-SDB,,,36.0,5.2,27.3,22.3,,1.2,,,52.7,99.4,,96.3
FNMC-SDB,,,36.0,5.2,6.7,5.0,,2.2,,,72.0,42.4,,16.9
LEMSE,,,36.0,5.2,30.6,27.2,,10.2,,,5.3,8.4,76.9,45.8
LUC,,14.7,86.7,56.2,88.4,82.1,27.8,40.7,79.1,,17.3,6.1,5.5,3.2
NIO,,,36.0,5.2,33.2,28.2,84.7,76.9,,,9.4,3.2,11.8,7.6
ADVBOX,,11.8,36.0,23.1,0.8,0.5,,97.0,81.0,,98.3,50.6,1.4,10.9
BBROOM,,41.3,29.7,59.5,30.5,29.9,67.7,84.0,,,6.1,85.0,60.4,42.7
CANDLE-B,,65.9,29.4,4.8,34.8,41.7,27.6,33.2,,,17.8,98.1,91.5,91.4
CDON,,19.0,16.7,85.8,28.5,26.7,,72.1,99.6,,16.3,22.3,12.3,14.0
CEDER,53.4,85.6,41.5,24.4,69.0,80.7,,40.1,28.5,50.0,76.9,51.8,87.1,92.4
CLEMO,,87.0,36.0,1.3,15.3,13.6,86.5,56.7,,,62.5,93.8,98.4,70.3
DSNO,,25.0,29.2,91.3,32.5,65.1,29.0,95.3,78.4,,6.7,13.1,4.7,19.1
ALBERT,,32.0,10.2,55.6,11.8,13.3,79.6,71.7,86.0,,80.2,41.3,77.2,53.0
ELLWEE,,17.1,44.3,8.3,99.3,88.0,0.6,26.2,,,8.5,77.5,97.4,77.2
EMB,,93.3,20.8,99.4,21.4,28.1,42.9,31.7,,,6.5,39.8,74.4,49.8
ENVAR,,90.4,84.1,67.5,,,,29.5,,,52.1,93.4,83.5,82.5
FRAG,,10.1,12.5,47.1,14.6,20.1,49.6,64.3,5.7,,99.6,83.4,8.3,88.6
FSPORT,,6.0,4.7,69.7,23.4,18.6,,85.5,,,4.1,12.0,95.9,55.1
GCOR,,90.1,8.9,7.6,1.7,4.7,60.7,21.8,4.9,,78.3,47.7,81.1,67.8
GBK,,83.7,18.9,87.2,,9.1,,98.5,86.5,,44.2,24.4,8.9,14.6
HOTEL,,42.3,11.2,65.1,0.3,31.7,,97.3,,,49.0,89.5,5.6,3.6
KAKEL,,66.3,28.6,30.3,32.0,30.1,68.5,89.0,,,5.7,29.9,37.9,11.0
KAMBI,5.6,32.7,65.2,99.1,63.6,77.4,85.1,4.7,18.6,,74.4,89.4,71.4,84.6
BRAVE,,,36.0,5.2,,,,,,,9.3,25.3,14.8,21.1
KJELL,,,,,,,,,,,89.5,85.4,46.1,48.1
MOBA,,,,,,,,,,,16.0,23.7,18.6,18.7
MAV,,,,,,,,,,,2.2,5.1,3.3,6.0
MAXENT-B,,,,,,,,,,,46.4,35.6,4.2,5.4
NANOC-B,,,,,,,,,,,18.7,90.3,23.2,44.7
BOAT,,,,,,,,,,,34.1,72.0,32.2,33.0
NITRO,,,,,,,,,,,25.7,15.8,8.5,10.8
NREST,,,,,,,,,,,84.9,84.7,92.8,99.2
NBZ,,,,,,,,,,,2.1,6.5,42.7,27.5
OBAB,,,,,,,,,,,23.4,20.3,26.0,29.7
QIIWI,,,,,,,,,,,99.9,17.7,5.1,68.3
REALFI,,,,,,,,,,,17.6,1.6,16.5,6.9
REFINE,,,,,,,,,,,3.5,10.1,4.9,8.3
SBOK,,,,,,,,,,,42.0,65.9,81.8,88.3
SCOUT,,,,,,,,,,,85.1,96.4,90.2,78.0
SKOLON,,,,,,,,,,,69.0,36.1,70.1,63.0
SOZAP,,,,,,,,,,,68.3,99.2,89.9,62.6
STORY-B,,,,,,,,,,,85.7,27.3,74.1,80.1
BUY,,,,,,,,,,,20.5,32.3,24.3,31.1
SODER,,,,,,,,,,,55.2,78.2,63.4,72.1
TELLUS,,,,,,,,,,,21.1,58.3,19.4,16.6
TOURN,,,,,,,,,,,5.2,11.9,49.6,24.9
UTG,,,,,,,,,,,28.2,76.0,76.8,85.6
USWE,,,,,,,,,,,76.1,92.6,56.0,81.1
ACCON,,,,,,,,,,,29.3,45.9,79.8,40.6
PADEL,,,,,,,,,,,9.0,5.4,8.7,13.2
ADTR,,,,,,,,,,,3.6,61.4,43.2,13.1
AVT-B,,,,,,,,,,,88.5,11.5,88.8,79.6
BUSER,,,,,,,,,,,75.8,99.1,23.1,71.9
BEAMMW-B,,,,,,,,,,,95.5,95.2,99.3,97.2
BIM,,,,,,,,,,,7.8,32.0,77.4,69.6
BINERO,,,,,,,,,,,86.8,71.5,34.3,56.1
BRILL,,,,,,,,,,,14.9,22.4,68.6,33.2
CHARGE,,,,,,,,,,,79.8,93.3,40.3,64.7
CHECK,,,,,,,,,,,11.9,47.5,14.3,9.4
CLAV,,,,,,,,,,,22.9,29.1,96.7,87.9
CDMIL,,,,,,,,,,,28.4,77.3,57.5,68.8
COMPDM,,,,,,,,,,,48.3,61.9,28.1,46.9
CFISH,,,,,,,,,,,48.4,99.9,99.6,86.8
DIAH,,,,,,,,,,,64.5,7.9,19.9,16.8
DIVIO-B,,,,,,,,,,,1.7,28.1,17.7,25.4
DONE,,,,,,,,,,,21.4,5.8,95.8,75.2
ENERS,,,,,,,,,,,98.8,45.5,3.0,18.5
EXS,,,,,,,,,,,18.1,88.2,66.0,56.6
FLEXM,,,,,,,,,,,87.6,19.7,10.8,13.4
FLOWS,,,,,,,,,,,29.6,29.7,41.5,49.0
FRAM-B,,,,,,,,,,,5.6,1.9,8.0,0.4
GENI,,,,,,,,,,,31.8,23.4,65.7,63.7
GREAT,,,,,,,,,,,8.4,4.5,9.6,4.6
HDW-B,,,,,,,,,,,75.1,3.5,98.3,15.1
HIFA-B,,,,,,,,,,,24.8,55.6,46.6,57.0
INSP,,,,,,,,,,,34.9,8.2,59.4,18.1
IRIS,,,,,,,,,,,5.8,24.1,3.8,4.1
JLT,,,,,,,,,,,35.0,19.8,61.5,27.7
K33,,,,,,,,,,,26.7,100.0,93.4,98.6
KENH,,,,,,,,,,,79.3,81.3,87.4,76.8
KLIMAT,,,,,,,,,,,93.4,75.4,58.3,84.2
LITI,,,,,,,,,,,75.5,81.9,86.4,90.2
LOYAL,,,,,,,,,,,88.8,83.5,2.4,6.7
MODEL,,,,,,,,,,,24.2,21.8,23.6,35.3
NEO-B,,,,,,,,,,,4.8,15.0,56.4,37.5
NOSA,,,,,,,,,,,6.6,18.7,31.2,38.4
OBSE,,,,,,,,,,,15.5,35.2,81.0,80.7
OODA,,,,,,,,,,,63.0,6.7,20.1,54.2
OPTER,,,,,,,,,,,71.1,52.1,29.1,54.6
QLOSR-B,,,,,,,,,,,95.1,31.2,6.3,4.4
QCORE,,,,,,,,,,,0.4,56.3,1.2,1.5
RPLAN,,,,,,,,,,,1.3,3.9,16.3,5.5
RIGHTB,,,,,,,,,,,100.0,99.7,19.7,86.9
SFTR,,,,,,,,,,,91.2,26.0,36.0,44.0
SONE,,,,,,,,,,,97.7,97.4,88.5,98.7
SPEONE,,,,,,,,,,,14.0,61.3,52.9,35.4
SPOTR,,,,,,,,,,,3.1,84.3,36.1,7.8
TENEO,,,,,,,,,,,95.9,43.7,52.6,72.4
UNIBAP,,,,,,,,,,,72.5,93.5,91.6,94.2
UPSALE,,,,,,,,,,,34.2,84.5,32.9,54.7
VERT-B,,,,,,,,,,,66.3,54.9,47.1,68.0
VO2,,,,,,,,,,,28.7,97.8,63.8,71.6
