Instrument,earningsGrowth_rank,revenueGrowth_rank,profitMargins_rank,grossMargins_rank,returnOnEquity_rank,returnOnAssets_rank,debtToEquity_rank,priceToBook_rank,forwardPE_rank,dividendYield_rank,Close_10_%_D_rank,10_40_%_D_rank,40_120_%_D_rank,RSI_3_months_rank
FNOX,75.9,70.2,91.3,69.3,96.0,98.0,82.5,5.0,7.6,0.8,52.3,69.8,84.8,94.6
HACK,69.9,88.2,96.6,97.6,,,81.2,0.1,,,,,,99.7
HEXA-B,33.7,42.8,83.3,72.6,66.5,74.8,55.2,4.4,34.5,20.0,58.3,32.4,18.2,26.6
LAGR-B,69.1,65.6,73.3,38.8,92.6,90.7,20.6,9.6,12.7,8.3,74.8,34.5,63.5,74.7
MYCR,68.7,74.5,86.6,61.7,92.8,96.5,89.7,21.2,52.4,16.7,88.6,41.2,27.4,59.9
NCAB,19.7,40.4,61.0,35.1,81.3,84.1,31.0,17.6,26.0,49.2,89.8,56.6,12.7,31.3
SINCH,,46.9,17.8,17.4,26.8,46.0,63.5,75.6,14.0,,81.9,71.6,80.1,74.1
TIETOS,,31.7,25.0,23.5,37.0,68.6,26.6,5.8,66.4,95.8,47.5,62.3,23.5,32.7
TRUE-B,32.1,67.1,87.1,84.5,93.6,98.3,83.3,8.7,15.0,3.3,89.4,19.0,51.3,75.9
VIT-B,40.6,72.1,75.8,52.9,70.2,74.4,44.0,27.3,13.5,6.7,73.5,63.6,14.0,34.9
YUBICO,26.1,73.3,79.5,88.4,90.6,96.7,90.1,15.7,22.4,,37.2,9.3,7.6,10.5
ERIC-A,79.5,45.4,38.8,51.9,48.1,57.0,46.0,33.3,,60.4,38.6,33.8,48.8,54.8
ERIC-B,79.5,45.4,38.8,51.9,48.1,57.0,46.0,33.8,50.7,60.4,33.7,34.2,48.6,53.8
HMS,47.8,81.7,70.6,68.9,74.6,87.5,28.6,18.8,14.4,12.5,78.8,13.5,35.7,43.3
TEL2-A,52.6,38.7,78.4,47.5,84.3,80.9,13.3,26.7,,70.4,18.0,49.4,81.9,83.1
TEL2-B,52.6,38.7,78.4,47.5,84.3,80.9,13.3,26.4,26.2,70.0,18.3,48.3,81.6,89.1
TELIA,38.6,46.2,66.7,51.0,68.2,67.1,9.5,43.3,35.1,81.7,16.5,23.3,72.0,61.2
ENITY,55.8,46.9,72.0,98.9,,,11.3,,,,30.4,,,0.9
NORION,70.7,69.2,94.3,5.2,81.8,53.2,,67.0,65.5,,83.1,85.8,84.1,90.6
TFBANK,69.5,66.6,91.9,5.2,91.2,57.8,,36.7,56.4,,23.8,41.5,50.8,64.6
APOTEA,76.7,64.7,50.8,25.1,,,41.7,9.0,16.3,,48.2,14.4,87.0,65.6
CLA-B,88.0,35.3,64.6,32.5,73.9,77.1,48.6,53.2,30.9,57.5,54.3,57.0,89.0,97.0
DUNI,36.1,54.1,48.7,22.6,59.8,71.1,50.8,61.9,54.8,77.1,30.0,28.5,54.7,41.7
HUMBLE,16.1,47.6,41.3,29.9,48.8,53.7,51.4,80.7,64.3,,22.4,59.6,11.3,19.0
SCST,42.6,52.9,43.8,40.3,72.7,72.1,29.6,41.5,34.0,45.4,30.7,75.9,80.4,90.8
EOLU-B,,99.3,71.0,28.8,84.2,93.7,56.2,76.3,72.5,67.9,81.8,78.0,43.4,64.2
MER,98.4,,36.0,31.4,24.7,35.9,97.4,13.0,4.7,92.5,11.2,,,0.5
ORRON,,14.4,11.0,67.3,38.2,33.2,62.7,27.9,99.8,,15.2,81.7,15.4,19.3
BESQAB,,2.6,39.6,9.1,46.1,37.7,40.9,80.1,40.0,,26.4,73.8,33.2,38.9
BESQAB-PREF-B,,2.6,39.6,9.1,46.1,37.7,40.9,35.4,,93.8,41.7,68.7,70.6,95.0
BRIN-B,,53.8,96.2,68.2,69.2,50.7,7.9,87.0,61.3,,48.1,38.2,38.7,22.3
CIBUS,,77.2,84.5,89.1,53.0,63.3,9.1,8.0,2.1,80.0,47.3,80.4,75.9,88.8
DIOS,22.1,45.9,85.8,75.8,57.2,64.1,11.7,76.1,61.1,55.0,55.4,71.2,40.9,45.1
EAST,94.8,88.5,94.5,96.1,57.9,60.1,19.6,11.1,2.5,40.0,50.1,76.8,71.8,87.4
EMIL-B,83.5,74.8,94.9,87.6,67.5,66.8,11.9,53.5,27.5,72.1,85.9,75.6,66.4,83.4
EMIL-PREF,83.5,74.8,94.9,87.6,67.5,66.8,11.9,69.2,,87.9,45.7,66.5,61.8,91.3
GPG,92.0,72.8,86.4,83.5,54.5,52.2,10.9,83.4,42.5,33.3,37.9,16.1,47.9,29.9
HEBA-B,,84.4,90.0,81.7,51.2,50.2,24.0,77.8,22.8,21.7,20.2,70.7,75.6,65.3
INTEA-B,63.1,70.9,95.5,90.2,63.1,55.8,17.1,50.5,26.6,5.0,50.0,80.6,94.1,96.4
INTEA-D,63.1,70.9,95.5,90.2,63.1,55.8,17.1,72.6,,75.8,54.8,72.3,73.0,85.2
JOMA,99.2,49.0,97.9,79.5,67.7,49.5,17.5,77.9,20.7,,55.0,63.2,64.8,75.0
KFAST-B,,78.4,47.3,48.8,45.6,46.5,6.5,83.7,19.5,,62.8,88.0,23.8,32.9
KLARA-B,99.6,60.6,97.0,63.2,68.9,51.7,18.1,87.9,38.5,,70.7,70.6,54.3,57.1
LOGI-A,15.7,93.0,92.2,92.8,61.8,67.3,21.2,69.0,52.2,5.0,75.6,64.9,56.2,65.1
LOGI-B,15.7,93.0,92.2,92.8,61.8,67.3,21.2,67.9,43.3,4.6,80.5,69.7,52.5,67.1
NEOBO,,41.6,20.3,60.3,40.4,50.0,18.8,91.4,,,46.6,69.3,54.1,49.9
NIVI-B,33.3,63.5,86.2,78.7,,,19.4,82.1,45.7,19.2,64.2,73.1,54.2,70.2
PLAZ-B,34.9,58.2,83.5,86.5,50.3,56.5,15.5,79.1,49.3,45.4,59.8,73.6,47.8,56.5
PRISMA,,70.7,90.3,85.6,53.2,55.1,35.9,74.2,44.0,,50.3,42.1,63.0,58.9
SBB-B,,13.0,7.8,75.2,31.8,41.7,7.7,84.9,55.2,99.2,4.5,91.8,89.5,73.9
SBB-D,,13.0,7.8,75.2,31.8,41.7,7.7,72.7,,100.0,8.8,81.1,88.6,75.1
STEF-B,85.5,59.6,92.6,86.9,63.0,59.0,10.1,65.3,45.5,,68.6,46.1,39.1,55.2
SFAST,,32.2,82.6,84.8,51.0,61.8,13.5,81.6,64.9,23.8,51.8,75.1,52.2,65.7
SVEAF,,85.1,17.2,73.6,40.1,47.7,29.4,89.2,35.3,,66.1,83.7,60.9,78.4
SLP-B,64.3,80.8,97.5,92.4,71.2,60.6,20.2,56.6,23.7,,68.9,79.5,64.3,82.4
TRIAN-B,80.3,61.5,90.2,73.0,56.6,53.8,12.3,83.3,32.6,,49.9,40.9,39.9,39.9
CAT-A,,16.3,23.5,23.7,32.8,39.9,10.5,60.3,,58.3,5.4,25.1,75.1,42.9
CAT-B,,16.3,23.5,23.7,32.8,39.9,10.5,57.3,65.8,52.9,37.3,26.7,73.2,58.8
CS,18.5,70.4,98.9,91.7,90.9,22.6,75.0,7.9,78.9,65.4,63.4,83.8,82.8,85.5
CRED-A,,,98.1,99.4,80.5,91.9,99.0,71.0,,35.4,51.9,18.9,59.7,52.1
FLERIE,,3.6,36.0,5.2,34.0,,99.8,74.8,99.4,,19.3,77.2,47.6,56.4
HOFI,48.2,45.7,86.0,76.9,83.7,52.8,15.1,61.3,68.3,38.8,8.7,41.7,81.2,63.8
INTRUM,,33.7,18.8,47.9,33.7,47.8,2.6,85.6,62.8,,97.4,97.5,94.4,97.7
LINC,,,99.4,99.4,60.8,65.0,,66.8,,,82.9,49.7,36.6,51.7
RATO-A,98.0,33.4,41.7,46.4,60.1,59.6,36.9,64.9,,57.1,45.2,52.2,83.9,79.1
RATO-B,98.0,33.4,41.7,46.4,60.1,59.6,36.9,66.1,52.9,59.6,46.3,68.8,84.4,88.4
RESURS,,79.3,48.9,5.2,46.3,38.9,,80.3,68.7,,47.7,67.4,71.0,86.1
SVOL-A,1.2,20.9,17.4,99.4,39.4,91.7,,61.8,,37.1,11.5,13.3,48.3,5.9
SVOL-B,1.2,20.9,17.4,99.4,39.4,91.7,,72.0,,53.8,56.3,18.0,68.0,48.7
TRAC-B,13.3,7.0,99.1,99.4,69.7,81.6,,73.9,,60.0,42.2,42.6,61.2,62.9
VEFAB,30.1,82.2,36.0,5.2,25.8,21.6,76.8,21.6,89.0,,45.6,18.8,73.1,37.1
VNV,,,36.0,5.2,29.0,25.7,72.0,27.7,70.4,,85.0,31.7,23.4,36.5
ORES,22.5,11.3,98.3,99.4,62.0,71.4,98.2,68.1,,84.2,69.6,43.0,65.4,73.8
AMBEA,57.0,48.3,55.7,25.0,76.9,72.4,5.0,50.4,47.1,29.6,42.6,66.1,71.9,84.3
ARJO-B,25.7,46.9,53.4,47.3,58.2,68.9,36.7,65.2,51.0,49.2,53.6,78.8,21.7,39.4
ATT,86.3,54.8,47.2,33.1,69.5,68.1,3.0,51.4,41.6,28.3,60.5,49.9,73.4,85.8
BACTI-B,,52.6,23.1,91.9,35.5,34.1,43.3,32.4,1.3,,28.9,9.7,49.0,16.7
BICO,,17.8,22.3,61.9,32.3,32.9,44.2,72.3,98.1,,63.6,46.6,51.4,48.0
BIOG-B,23.7,37.5,85.0,80.8,83.0,94.5,,19.7,21.4,27.1,84.5,36.7,26.8,47.4
BINV,,95.9,36.0,99.4,17.8,11.5,91.7,35.7,89.2,,10.3,74.2,87.7,59.4
CEVI,72.7,63.5,84.7,75.6,88.0,95.3,90.5,22.4,24.3,17.5,26.1,22.5,64.6,32.6
CINPHA,,,36.0,99.4,10.9,9.0,99.2,57.9,84.6,,10.1,96.1,32.8,34.4
HNSA,,68.3,36.0,59.3,,6.8,,97.9,86.9,,92.6,43.3,38.2,42.4
HUM,92.8,49.5,43.2,20.1,59.9,62.8,9.7,86.4,66.2,47.9,41.3,46.0,29.3,50.6
MCAP,39.8,53.4,73.5,64.9,85.0,87.7,61.7,22.2,5.9,,87.2,37.6,72.2,61.0
RAY-B,77.9,76.2,83.1,95.4,92.1,91.0,46.6,9.5,10.4,10.4,74.7,79.4,90.8,95.5
SEDANA,,67.5,15.5,78.0,37.2,31.4,96.8,65.6,97.9,,79.5,7.0,15.2,20.8
XVIVO,,66.8,81.4,82.6,61.3,57.3,94.0,25.6,10.8,,52.8,11.8,10.6,11.9
ALIG,73.9,38.2,70.5,41.6,66.8,73.4,46.8,46.8,28.3,32.1,69.8,76.2,78.6,90.1
