Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_40,SMA_120,Close_10_%_D,10_40_%_D,40_120_%_D,RSI_3_months
2024-08-06,103.58852810354884,105.92951334513252,101.44262930647284,102.8082046508789,30395,0.0,0.0,108.54360961914062,111.3869291305542,101.91704114278157,-5.28396373437938,-2.5526509560928603,9.291761104510188,52.62714190612674
2024-08-07,115.09836776168258,115.09836776168258,103.00328355938566,105.34426879882812,9082,0.0,0.0,108.15344619750977,111.0894292831421,102.1023572921753,-2.5973998031939938,-2.642900503295562,8.802022038775718,53.65648751080444
2024-08-08,105.34426879882812,105.34426879882812,103.58852800879956,105.34426879882812,31318,0.0,0.0,107.7632827758789,110.73340473175048,102.26784089406331,-2.244747853572478,-2.6822276105992033,8.277835694660295,53.65648751080443
2024-08-09,106.12459783300724,108.27049659051903,106.12459783300724,107.49016571044922,23604,0.0,0.0,107.41213455200196,110.4797981262207,102.42978782653809,0.07264650197365023,-2.7766737686413983,7.859052010646623,54.51172111664708
2024-08-12,107.49016527258496,109.44098502302597,107.10000727592617,109.05082702636719,24587,0.0,0.0,107.15852813720703,110.3334867477417,102.60077374776205,1.7658873465835938,-2.877601990222301,7.53670047263978,55.120827243152256
2024-08-13,109.83115046147152,110.0262369015877,108.66066158792162,109.05082702636719,15208,0.0,0.0,106.98295516967774,110.20668354034424,102.77017307281494,1.932898426118209,-2.9251659401277332,7.236059106624613,55.120827243152256
2024-08-14,109.05082283512088,109.83114624023438,107.88032656477093,109.83114624023438,8032,0.0,0.0,106.88541412353516,110.1335277557373,102.94924825032552,2.7559720293496963,-2.9492505128920117,6.978467184085595,55.42599857009608
2024-08-15,110.2213134765625,111.19672333033739,109.63606905265489,110.2213134765625,11990,0.0,0.0,106.98295516967774,110.10914249420166,103.12284851074219,3.0269852816728076,-2.839171438183301,6.774729445852848,55.57872734889436
2024-08-16,111.1967251463562,112.17213501606108,110.41639427387761,110.61148071289062,13514,0.0,0.0,107.29508666992187,110.07988033294677,103.29732030232748,3.0909095149633172,-2.5297935050456393,6.566056128821447,55.73211152802417
2024-08-19,105.3442675184145,110.61148238269259,105.3442675184145,108.465576171875,10946,0.0,0.0,107.82180786132812,109.94332294464111,103.45232289632162,0.5970668859261188,-1.9296443171735087,6.274387917634944,54.68197476130521
