Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,SMA_50,SMA_DIFF,RSI
2023-09-13,1173.9432949934817,1187.0599310627501,1166.391288732393,1185.8675537109375,324333,0.0,0.0,1179.696759033203,1239.6420043945313,-4.835690074136109,43.79849313301115
2023-09-14,1185.8676608112062,1212.101056618814,1184.8739724950078,1208.523681640625,383075,0.0,0.0,1181.6741943359375,1238.2627661132813,-4.569997041497637,51.867130604623526
2023-09-15,1217.66573735033,1226.807621717963,1199.580536466745,1201.7667236328125,777694,0.0,0.0,1184.168359375,1236.43041015625,-4.226849352131805,49.580915954005704
2023-09-18,1201.7665373369603,1204.9462910676043,1186.2650256253692,1188.6497802734375,167974,0.0,0.0,1185.549578857422,1233.9104125976562,-3.9193148259786508,45.39757252980241
2023-09-19,1184.4763608277099,1191.4321783829062,1157.0505901557594,1159.6341552734375,335742,0.0,0.0,1184.844061279297,1230.7027856445313,-3.7262225209978452,37.799855966147966
2023-09-20,1163.0128031622367,1171.9559978051966,1155.8581746679642,1160.03173828125,290248,0.0,0.0,1183.9795532226562,1227.1930786132812,-3.521330599375272,37.953088574187035
2023-09-21,1151.4859590682079,1151.4859590682079,1104.782612679039,1108.9560546875,704591,0.0,0.0,1181.1574768066407,1222.2763061523438,-3.3641189916495042,28.30578304186011
2023-09-22,1108.1611812164067,1128.631257930394,1103.987738734827,1118.296875,241824,0.0,0.0,1178.752752685547,1217.7888134765626,-3.2054868922284547,31.723871585443106
2023-09-25,1108.3599337206163,1114.1232529748456,1088.4861680856754,1097.6280517578125,434459,0.0,0.0,1174.658758544922,1213.1502758789063,-3.172856495960314,28.487429344302626
2023-09-26,1095.0445208189458,1095.0445208189458,1074.1770662479857,1079.1455078125,452265,0.0,0.0,1168.4978942871094,1207.983095703125,-3.2686882421175443,25.939037458857143
2023-09-27,1079.1454814282977,1084.1139228713378,1062.054091384176,1065.03515625,469413,0.0,0.0,1162.4860778808593,1202.8516918945313,-3.355826348807379,24.161961807819708
2023-09-28,1063.047760371484,1087.889967135635,1056.8868203140719,1086.498779296875,396362,0.0,0.0,1157.8753723144532,1199.1233740234375,-3.439846357976009,31.8143172605716
2023-09-29,1093.6533074463496,1109.9498196583288,1089.6785542873224,1099.416748046875,425920,0.0,0.0,1153.364031982422,1195.6216186523438,-3.534361206813319,35.99997821813085
2023-10-02,1096.0381911076543,1100.0129442939015,1082.3252440951653,1092.4609375,446036,0.0,0.0,1148.3459106445312,1191.8376538085938,-3.6491331705356003,34.76254817470961
2023-10-03,1092.4609190858935,1102.1989914481533,1080.13916015625,1080.13916015625,364003,0.0,0.0,1142.9998718261718,1187.9304711914062,-3.782258343804616,32.62332111104355
2023-10-04,1073.779449318615,1077.5555130149291,1065.4324441424358,1071.5933837890625,303859,0.0,0.0,1137.2066650390625,1183.8762231445312,-3.942097762678957,31.189747526115568
2023-10-05,1076.561795542946,1111.7383812792057,1075.1706078347656,1090.672119140625,497115,0.0,0.0,1132.8145568847656,1179.8458203125,-3.986221133137344,37.76495649924583
2023-10-06,1084.5114276702786,1108.7574462890625,1084.1139280929528,1108.7574462890625,299892,0.0,0.0,1128.38271484375,1176.1612280273437,-4.062241812181467,43.29628429235768
2023-10-09,1099.019162299953,1120.8803029605308,1095.0444094525753,1098.4229736328125,403872,0.0,0.0,1124.099920654297,1172.3335400390624,-4.114325636640773,41.05103217485568
2023-10-10,1119.0916086305858,1151.0884416309123,1114.7194775657947,1147.3123779296875,561025,0.0,0.0,1122.4404602050781,1169.9884326171875,-4.063969445043803,53.37037451233614
2023-10-11,1138.9654423690297,1139.7604415020435,1093.0570929836513,1094.05078125,735395,0.0,0.0,1117.8496215820312,1166.84837890625,-4.19923943933041,42.86137178594889
2023-10-12,1098.224254136215,1109.5523249490966,1083.5177401632138,1091.86474609375,804689,0.0,0.0,1112.0166748046875,1163.7440991210938,-4.444913994019212,42.49155086097393
2023-10-13,1080.5366410946974,1085.9025819731194,1064.2401293268308,1067.8173828125,582476,0.0,0.0,1105.3192077636718,1159.9044873046876,-4.7060150330013455,38.55100716099984
2023-10-16,1067.8173028636977,1075.7668083699227,1062.6501728045828,1068.01611328125,393107,0.0,0.0,1099.2875244140625,1156.1602709960937,-4.919105768357897,38.60168192283419
2023-10-17,1063.2464701352953,1069.2085998743717,1038.6029520271768,1056.8868408203125,389690,0.0,0.0,1094.1501586914062,1152.4876000976562,-5.0618715031126404,36.77278001892291
