Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_40,SMA_120,Close_10_%_D,10_40_%_D,40_120_%_D,RSI_3_months
2023-06-19,144.0,146.25,142.9499969482422,144.9499969482422,1569381,0.0,0.0,144.80999755859375,152.55874900817872,140.57583293914794,0.09667798633294655,-5.079191786745419,8.52416508477521,51.32956815740823
2023-06-20,144.6999969482422,145.5,143.6999969482422,144.35000610351562,1695090,0.0,0.0,144.4999984741211,152.7549991607666,140.60908298492433,-0.10380094961200777,-5.404078905435722,8.638073670635148,51.1631116954391
2023-06-21,144.35000610351562,145.9499969482422,143.39999389648438,144.3000030517578,1508065,0.0,0.0,144.36499938964843,152.98124923706055,140.61958306630453,-0.04502222710865735,-5.632226099853803,8.790856793343846,51.14913270804817
2023-06-22,141.4499969482422,141.89999389648438,134.5,138.25,2407916,0.0,0.0,143.75,153.06499938964845,140.5963331222534,-3.826086956521739,-6.085649512816324,8.868414979609103,49.49455277340554
2023-06-26,138.85000610351562,141.0500030517578,137.6999969482422,140.25,1570906,0.0,0.0,143.38000030517577,153.1762493133545,140.56208311716716,-2.183010390928826,-6.3954098968296496,8.974088827121788,50.034863343113614
2023-06-27,141.0500030517578,144.5,140.75,144.5,1906988,0.0,0.0,143.51000061035157,153.38874931335448,140.59308312733967,0.6898469691575082,-6.440334605520406,9.101206048967123,51.15769040582318
2023-06-28,145.9499969482422,147.5,145.0,147.35000610351562,1402533,0.0,0.0,143.86000061035156,153.72749938964844,140.60966650644937,2.4259735008738326,-6.418824750597178,9.329253961780354,51.890823921564376
2023-06-29,147.25,147.60000610351562,145.0500030517578,145.64999389648438,943001,0.0,0.0,143.88500061035157,153.5049991607666,140.59308312733967,1.226669408656782,-6.266895933688751,9.183891373754282,51.42521451411858
2023-06-30,146.35000610351562,147.9499969482422,146.14999389648438,147.1999969482422,865493,0.0,0.0,144.15500030517578,153.1049991607666,140.57408313751222,2.112307333509182,-5.845660758727382,8.914101193885362,51.82377747846945
2023-07-03,150.0,150.35000610351562,147.0500030517578,148.0,645730,0.0,0.0,144.4800003051758,152.46249923706054,140.4969165166219,2.436323150186281,-5.235713025714565,8.51661589243706,52.029212503903395
2023-07-04,147.89999389648438,148.6999969482422,147.0,148.6999969482422,343569,0.0,0.0,144.8550003051758,151.97249908447264,140.3750830968221,2.6543761934112604,-4.683412342479576,8.261734014184958,52.2095309039304
2023-07-05,147.39999389648438,150.5500030517578,147.35000610351562,149.60000610351562,978261,0.0,0.0,145.38000030517577,151.4674991607666,140.29358310699462,2.9027416353565765,-4.019013246617089,7.964666527370838,52.44195996553477
2023-07-06,148.1999969482422,148.64999389648438,145.8000030517578,146.4499969482422,920070,0.0,0.0,145.59499969482422,150.9549991607666,140.18899974822997,0.5872435558982713,-3.550726703813223,7.679632090871342,51.55453146730011
2023-07-07,146.4499969482422,147.25,144.9499969482422,147.25,625614,0.0,0.0,146.49499969482423,150.5174991607666,140.1035830815633,0.5153761607894966,-2.672446385550134,7.433011954548428,51.76416299821859
2023-07-10,147.0,148.64999389648438,144.89999389648438,148.3000030517578,689150,0.0,0.0,147.3,150.07749938964844,140.02491639455158,0.6788886977310258,-1.8507100670948438,7.179138723262259,52.03960969883365
2023-07-11,149.0,150.0,147.1999969482422,150.0,530140,0.0,0.0,147.85,149.70124931335448,139.93108310699463,1.4541765302671665,-1.2366291676560786,6.982127193919699,52.483851143852625
2023-07-12,150.0,154.0500030517578,149.60000610351562,153.5500030517578,872630,0.0,0.0,148.46999969482422,149.39999923706054,139.91233310699462,3.42156891451161,-0.6224896566168246,6.781150681556037,53.395437645822895
2023-07-13,154.10000610351562,154.6999969482422,152.4499969482422,152.4499969482422,597509,0.0,0.0,149.15,149.1487491607666,139.8860830307007,2.2125356676112515,0.0008386521780645175,6.621578022191852,53.07637440513787
2023-07-14,150.39999389648438,152.1999969482422,148.75,149.1999969482422,759403,0.0,0.0,149.35,148.83749923706054,139.8794163386027,-0.10043726264332563,0.3443357793341911,6.404146609228922,52.14541758051419
2023-07-17,148.0500030517578,150.6999969482422,147.0,150.1999969482422,678187,0.0,0.0,149.56999969482422,148.5674991607666,139.87774969736736,0.4212056259299234,0.6747778213408573,6.212388662385514,52.405168579040705
2023-07-18,151.10000610351562,153.0,150.10000610351562,152.10000610351562,800203,0.0,0.0,149.91000061035157,148.27874946594238,139.88108310699462,1.460880184275596,1.1001246977631596,6.003432467365447,52.89641103039819
